Русское слово,Ительменское слово
обморок,tplasxen- неп
обнадеживать,ənməlweŋ- п1
Красной,afčaχ собств
зрительно,tepəlaχ прил
обнаруживать,ənlat'- п1
обнаруживаться,tepəl le- неп
обнимать,tawol- п2; tawolat- п2
сильно,əmptqesxen- п1
обниматься,ansawaʔɬ- неп; tawolaʔɬ- неп
обносить,inkil- п1
обнюхивать,nisk'i- п2; ənsk'i- п1; ənsk'i- п2; ənsk'izo- п1; ənsk'izo- п2
обод,ʷkmewič сущ
ободок,inmeŋ сущ
обожженная корка,k'wasχq сущ
обозначает возвратное действие,uwik сущ
оборачиваться,sxozŋa- неп; sxozŋazo- неп; sxozŋat- неп
пищу стебель кипрея,alxp сущ
обрадоваться,wənkiwi- неп; riwat- неп
волосами,etɬxte- неп
обрасти бородой,luʔwilti- неп
обратно,ilwiziɬ нареч
обратное действие,uwik сущ
обращать внимание,čalxta- п1
обрезать,əmpχata- п1
обрезать слегка,əmpχala- п1
обруч,ʷkmewič сущ
обрыв,xalf сущ; eʔle сущ
обрываться,pxe- неп
обрызгивать,ipstu- п1; ipstut- п1
обсидеть,kafkɬ- неп
обтесывать,ɬk'l- п1; ɬk'let- п1
обувать,ənkuma- п1
обуваться,kume- неп
обуви вид,aɬeʔn сущ
обувь,komaknen сущ; sfunsχqeʔn сущ
обувь детская,pekeʔɲč сущ
обувь домашняя,sfunk'uzweʔn сущ
обувь латать,atɬemk'at- п1
обувь летняя промысловая,ikəmplikeʔn сущ
обувь праздничная;,alačikaʔn сущ
осенняя,fisfeʔn сущ
обузить,ənquɲŋala- п1
обходить,č'et- п1
обходить стороной,ksota- неп
обшивка,nik'ileʔnəŋ сущ
обшивка у обуви,akewaʔnəm сущ с.; akewəm сущ
одежды,nik'ileʔnəŋ сущ
обширный,χopt прил
общество,obɕːеstwo сущ
объединять,ənqoɲeŋewe- п1
объединяться,quneŋe- неп
объем помещаемый в обе горсти,pklel сущ
объявлять,ampela- п1
объяление,ampelač сущ
объяснить,əlʔiɬ- п1
обыкновенно,ŋonke нареч
обыкновенный,ŋonkenlaχ прил
овод,ɬokra сущ
оглушить,ənparew- п1
оглядываться,laxɬet- неп; ɬčkpet- неп
огонь,wəmɬx сущ с.; ximɬx сущ
огонь высекать,eʔŋlet- неп
огонь раздувать,tlut- п1
огород,ogorod сущ
огорчаться,qaʔmst- неп
огромный,χopt прил; esqčkin прил
огурец,oguret͡s сущ
одевать,ənkuma- п1
одеваться,kume- неп; qziɬet- неп
одеваться по-праздничному,kəmŋe- неп
одежда,warnaʔn сущ; odezdaʔn сущ; txɬknen
одежда женская,ŋawker сущ
одежду пороть,itɬqr- п1
одеревенеть,oʔte- неп
одеяло,saχsaχ сущ; ensčineŋ сущ
одеялом накрывать,ensča- п1
одеялом укрываться,ensče- неп; ensčet- неп
один,ʷqɲiŋ числ; ɲaačiɬ нареч
запора,ɬoʔnaŋsez сущ; newlaz сущ
одинаковый,odinakowoj прил
одинарная кухлянка,eʎwəmək сущ
один-одинёшенек,ʷqniŋačχ прил
гора,nеimtu З. сущ
одичавшее животное,ŋejem сущ
одна половина штанов,qtxewzəŋ сущ; paskezalŋən сущ с.
однажды,kuniɬwin нареч; kuneɬeŋ нареч с.; qun нареч
однако,kəʔmxaɬ союз
конца ловушки запора,č'ŋzɨpeʔlenəŋ сущ
одновременно,qnaŋza нареч
одр,aɲts сущ
оживать,izli- неп
оживлять,ənt'izliʔɬ- п1
ожигать,ənk'wa- п1
ожог,k'wak'wum сущ
озарять,natxsaw- п1
озеро,ʷkəɬf сущ
озеро севернее о. Мээнто,Кʎučeken собств
озираться,laxɬet- неп; ɬčkust- п1
озорничать,ɬapxač'e- неп; ɬiweklin- неп
ой,iŋiŋi межд; učučux межд
оказывается,mexnu нареч
оказывать помощь,inənk'zuʔɬ- неп; nək'zuʔɬ- неп
окаменеть,wate- неп
окинуть ее взглядом,loŋaʔɬ- неп
окликать,ənkel- п1
окно,aʔnwses сущ; oknom сущ; oknuč сущ
околачиваться без дела,q'le- неп
околдовать,aŋqan ənt- п1
околдовывать,zestaʔɬa- п1; kztaɬ- п1
около,olla предл
оконечность бата,tk'ŋoč сущ
оконный,oknoʔan прил
окончить,piɲɬf- ilalɬel- п1
окорять,ilalɬel- п1
окровавить,ənɬimza- п1
окружать,twil- п2; txwəlet- неп; txwəletə- п1
октябрь,oktяbr сущ
оленевод,olеnеwod сущ
оленей ловить,čaʔwat- неп
олененок,qeŋučχ сущ; teqesχ сущ
олений жир,qetχ сущ
олений мох,xatpal сущ
олень,qos сущ; ɬxejwak сущ
"олень дикий, самец",χiwŋelan сущ
оленьей кости осколок,irwutam сущ
олень-самец,ʷkič'e сущ
оленья жила,sitɬ сущ
оленья нога,sizŋit'ɬ сущ
оленья шкура,sap сущ
оленя мясо,iɬχpete сущ
оленя убить,qoreɬmat- неп
ольха,kskət сущ
ольха горная,kskət сущ
ольха тундровая,kskət сущ
ольховая кора,ilal сущ
ольхой красить,kskizla- п1
ольшаник,kskəzzal сущ
он,ənna мест
он сам,fiɲɲatɬ мест; ʷfnewa мест
"он сам, она сама",wne мест
она,ənna мест
она в одиночку,tɬwinetɬ мест
она сама,fiɲɲatɬ мест; ʷfnewa мест
они,itχ мест
они сами,ʷtɬwin мест
оно,ənna мест
онуть,čkɬ- неп
опадать,peqse- неп; pesčkɬ- неп; tsӑl- неп
опаздывать,opozdaʔɬ- неп
опана,kɬxmas сущ; qsχares сущ
опираться,aɬa- неп; zəl- неп
опираться многократно,aɬat- неп
оплевывать,enɬentɬxoŋ- п1
опоражнивать,əntni- п1
опору подставлять,čepə- п1
опровергать,χeqe iɬ- п1
опрокидывать,ənpiŋeʔɬ- п1; ənpiŋeʔɬet- п1; ənp'əlk'e- п1; ənsč'aʔŋa- п1
опрокинуться,sč'aʔŋa- неп
опухать,ənɬ- неп
опухоль,nuɬent сущ; ənɬenom сущ
опушка,utejneŋ сущ
опушка капюшона кухлянки,irʔirič сущ
опушка мужского капора,irʔirič сущ; muxta сущ с.
опять,tewut нареч; tenaq нареч
орден,ordеn сущ
орел,sleč сущ
орех кедровый,kuɲɬel сущ
орехи грызть,kaɬimto- неп; kuneʔɬ- неп
орехи шелушить,koɲɬeɬtwaʔɬ- неп
орешек кедровый,kuɲɬel сущ
оружие,pojtəl сущ
оружие типа лука с прикладом,los сущ
оса,t'was сущ
осел,osəl сущ
оселок,pnawŏm сущ
осенний,ktxleʔin прил
осеновать,ktxast- неп; ktxlenɬ- неп
осень проводить,ktxast- неп
осенью,ktxle нареч
осина,atxkəzəm сущ; leŋa uʔ сущ
оскорблять,χeqewjep- п1
оскорбляться,qaʔm- неп
осматривать,ɬčkust- п1; č'et- п1; əɬčkuste- п1
осматриваться,ɬčkust- п1
осмеивать,ɬiŋweju iɬ- п1
хиԓивайу,iɬ- п1
основание дерева,tnakol сущ
осока,q'eq'um сущ
корзин,sxəm сущ
оставаться,kzeɬ- неп; fti- неп
оставить,ənfteʔɬ- п1
оставлять,inoms- неп; umz- п1; ənkzeɬ- п1
оставлять (кому-л. что-л. из еды),anxča- п1
оставлять в покое,ənfti- п1; enftes инф п1
оставлять следы,ɬkzi- неп
остальной,inŋukelaχeʔn прил
останавливать,ənt'unmiʔɬ- п1
останавливаться,olme- неп; onmalat- неп; umni- неп с.; unmi- неп; unmist- неп; unmit- неп
останавливаться ненадолго,onmala- неп
остановка,onmenom сущ; onmestnom сущ
остаток еды,aʔnxčas сущ
остол,osxtleniŋ сущ
управления нартой,ostxleləŋ сущ
остолом тормозить,xaʔrat- неп
осторожно,telwečq нареч
остров,ʷɬemč сущ
острога,marek сущ
острый,wostroj прил; ik'sxulaχ прил; nirwuqen прил с.
отек,nuɬent сущ
отец,isx сущ
отказываться,otkazaʔɬ- неп
откликаться,aɬtsxen- неп; irwutam сущ qazalaʔɬ- неп
острым тыкать,txɬ- п1
остужать,ənksiɬ- п1
остывать,ksene- неп
осуждать,lasχtel- п1; xek'omla- п1; xek'əmla- п1
осыпь,t'lenom сущ
от края отходить,wen- неп
отбирать,iʔnuxt- неп; iʔnuxt- п1; enawna- п1 с.
отбиться,zəmčɬ- п1
отвергать,χeqe iɬ- п1; eqel- п1
отверстие,č'enom сущ
отверстие в стене или потолке,trubusin сущ
отверстие для света,aʔnwses сущ
отверстие для чада,trubusin сущ
отвести,ənt'ilwiziɬala- п1
отвечать,ɬo- п1
отвечать на вопросы,aɲčpat- неп
отвлекать,ənč'elazo- п1
отводить,ənt'ilwiziɬ- п1; eqel- п1
отгадывать,uzenx- неп; əllatsxen- п1
отдавать,zil- п1
отдавать кислым,kʎčlate- неп
отдаваться,ozala- неп
отдалять,ənmeč'as- п1
отдельно,ɬman нареч
вого стланика,ʷstopk'ul сущ
отделяться,ɬmat- неп
отдых,qenʔesəm сущ
отдыхать,qenʔisi- неп; qenʔisit- неп; uraturi- неп с.
отдыхать как следует,qenʔisit- неп
откликаться на зов,aɬt- неп
откликаться на зов многократно,aɬtsxen- неп
откровенно разговаривать,panenajp- неп
открывать,fačza- неп; ənqe- п1; ənɬi- п1
открывать глаза со сна,ŋaʔno- неп
открываться,iqi- неп
открытый,kənqeʔin прил
откуда,manxʔal нареч
откусывать,ansχɬ- неп
отлив,eʔrum сущ
отличаться,ɬwaɬte- неп
отличник,otličnik сущ
отлично,brawo нареч; otlično нареч
отличный,ɬwaɬʔan прил
отлупить,nepajsa- п1
отметка,otmеtka сущ
отмечать путь вешками,ililet- п1
отмщение,net'ɬenom сущ
отнести,ənt'ilwiziɬala- п1
отнимать,iʔnuxt- неп; iʔnuxt- п1
относить,teʔɬ- п1; teʔɬet- п1; ənt'ilwiziɬ- п1
отогревать,nomsa- п1
отпарывать,it'ɬqre- п1
отправлять,ɬinzaɬt- п1; ɬintewuŋ- п1; ənsxezi- п1
отправляться в путь,sxezi- неп
отпрашивать(ся),spŋel- неп
отпускать,ənksi- п1; ənqsi- п1; ənqsit- п1
отражение,fet'ɬχet'ɬ сущ
отрезать,əmpχata- п1; əmpχe- п1
отрезать кончик уха,əɬtq- п1
отремонтированный,xiʔŋiŋlaχ прил
отрицание,qaʔm част
отрываться,pxe- неп; pxetit- неп
отрывок,otrɨwok сущ
отрыжка,esəʔŋɬem сущ
отряд,ipɬχnowal сущ
отставать,kzeɬ- неп
отстегивать,əntpɬet- п1
отсыревать,ilewe- неп
отсюда,wotxal нареч с.; txʔal нареч
оттащить,ənt'ilwiziɬala- п1
оттуга,uttuwalŋən сущ
оттуда,χoxʔal нареч
отхаркивать мокроту,asato- неп
отхаркиваться,asato- неп; ɬinɬxe- неп
отцом признавать исхэки,iɬ- п1; esxeɬzo- неп
круг во время танца,wen- неп
отчим,isxeʔsx сущ
отъезжать недалеко,sč'elala- неп
отяжелеть,kassa- неп
ох,iŋiŋi межд
охаивать,ɬiɲɬeruŋ- п1
охапка,inzesχ сущ
охать,atal- неп; atalkas инф неп
охота,ɬəm- неп
охотиться,nis- неп; nes- неп; oxot'eɬ- неп; sinatala- неп
охотиться на медведя,met'sk'ente- неп
охотиться на морского зверя,ijanɬk- неп
охотник,nisilan сущ
охотничье угодье,ɬmenom сущ
охотничья добыча,ɬmas сущ
охотничья лодка,bajdar сущ
охранять,xčoɬ- п1
оцеплять,txwəletə- п1
очаг,ojelatnom сущ
очень,ʎwi нареч; ʎi нареч с.
очень больно,kɬəŋqsxi нареч
очень вкусно,kɬč'eweze нареч
очень дымно,kɬŋačeza нареч
очень страшно,kɬčispeŋin нареч
очищать шкуру,naɬ- п1
очищение,česteʔɬnom сущ
очки,očkaʔn сущ
ошаманивать,kztaɬ- п1; čamla- п1
ошейник,kwəlwŭm сущ
ошибаться,intinniw- неп; intənmeʔɬ- неп; tsxil- неп
ошибка,tsxeʔles сущ
ошпарить,is- п1
ошпариться,is- неп
ощипывать,ənmit- п1
ощипывать перья,ənmi- п1
ощупывать,tillat- неп; tillat- п1
ощущать тошноту,iʔlaket- неп
падать,ič- неп; kzi- неп; tsӑl- неп; tslat- неп
падать в обморок,tplasxen- неп
падение,toalnom сущ
падушка,kəɲč сущ
падшая женщина,č'afkram сущ
пазуха,paŋza- п2; paŋzaŋ сущ; paŋzat- п2
подпоясанной кухлянкой,paŋzaŋ сущ
пакет,koɬton сущ
пакостить,aɲčxčaŋ- неп
Палана,Кɬxit собств
палатка,polok сущ
палец,lufɬič сущ
палец большой,asolŋəŋ сущ с.; timkč сущ
палец указательный,aɲɬoʔɬknen сущ
палка,keŋč сущ; usk'əlŋin сущ; uʔ сущ; əmzatinəŋ сущ
палка для привязывания собак,χezum сущ
"палка, чтобы рыбу погонять",əmzatinəŋ сущ
палочки,umuɬk'eʔn сущ
пальто,paɬtoʔ сущ
пальчик у маленького ребенка,lewečχ сущ
памятник,pamяtnik сущ
память,txeɬnom сущ
папа,papa сущ
пар,ʷt'it'im сущ
сердцевины кипрея,lupsisχ сущ
парадная комната,χaqa сущ
паразит,ʎapxač'eraŋ сущ
паразиты,katxzeʔn сущ
парень,χoʎa сущ
париться (еда),poje- неп
парта,partaʔ сущ
партизан,partizan сущ
партизанский,partizanskoj прил
парус,parus сущ
пастбище,asxəm сущ; nonom сущ
пасти,anfčoʔɬ- неп
пасти стадо,xčoɬ- п1; xčoɬ-
пастух,anxčoʔɬkaɬχ сущ
пасть открывать,fačza- неп
патрон,patron сущ
паук,ʷsik'k'aj сущ; sik'uk' сущ
пах,sač'eŋ сущ
пахать,paxaʔɬ- неп
пахнуть,sq- неп; sqka- неп
пачкать,əlk'sezo- п1
пачкаться,əlk'sezo- неп
пачкаться многократно,anzazo- неп
пеленать,č'umk'e- п1
пень,tnakol сущ
пепел,ʷpiŋpiŋ сущ
пепельница,peŋpeŋjoɬxen сущ
пепельный цвет,piŋlaχ прил
первосвященик,xepoxpx сущ
первый,perwoj прил; perwoj прил
первый от центра запор,tkupenpaw сущ
из-под снега,luqen сущ
перебирать,inčileʔɬ- неп
переваливать через гору,χaʔmne- неп
переваливать через хребет,xəʔmne- неп
Колвоч,kiw собств
Переваљной,ŋejŋe собств
переварить,et'osčo- неп
место,ənɬemza- п1
перевозить,əntxla- п2
перевозить через реку,tqəz- п1
переворачивать,ənpiŋeʔɬ- п1; ənpneʔɬ- п1; ənsč'aʔŋa- п1
переворачиваться,sxozŋa- неп
переглядываться,ɬčkust- п1
перегонять,ənpeskoz- п1
перед,kɬfəɲčk нареч
передвигать,ənsč'ella- п1
передний,kɬfəɲčʔan прил
летней обуви,feečχ сущ
передняя часть одежды,uwik сущ
переправлять,tqəz- п1
переправляться,ənta- неп; əntat- неп sizŋit'ɬ сущ
передовой,pеrеdowoj прил
передразнивать,qazala- п1; qazalaʔɬ- неп
переезжать,ənta- неп
переезжать на другое место,jalwet- неп
переезжать через горы,xəʔmne- неп
переживать,krurew- неп; nitasxen- неп; čalxta- п1
перезимовать,kank- неп
перекат,k'izwizweč сущ; epewrəŋ сущ
перекликаться,lukel- неп
перекосить,tqens- п1
перекрывать путь,txwəlet- неп
перекусывать все предметы,pələt- п2
перелезать,təʔmne- п1
перелезать через забор,χaʔmne- неп
перелетать,lusiŋit- неп
перелетать с места на место,siŋet- неп
переливать через край,ip- неп
перемена,pеrеmеna сущ
переметка,koremt сущ
перен,kakf сущ
перенога,pənk'eč сущ
свежим следам,nespəl сущ
переносить,timpɬ- п1; əntxla- п2
переносить на спине,szu- п2
перепись,keʔɲɬetnom сущ
переправа,əntanom сущ
перепрыгивать,twajt- неп; twajtat- неп; twajtzo- неп; twajčo- неп
перепутать,ənq'lt- п1
перепутаться,q'le- неп
перерыв,qenʔesəm сущ
перерывать,nek'a- п1
переселять,ənsialwet- п1; ənsialwetet- п1
пересказывать,la- п2
переставать,ɬxilŋi- неп
пересушить,ənk'exsa- п1
пересчитывать,ɬnisxini- п1
пересыхать,k'isxɬet- неп
перетаскивать быстро,insimpɬ- п1
перечитывать,ɬnisxini- п1
перешагивать,čmaqa- п1; čmaqat- п1
перешагивать заставлять,ənfaqt- п1
перешаривать,nek'a- п1
перо,čeɬxčeɬx сущ
перья ощипывать,ənmi- п1
перьями обрастать,etɬxte- неп
песец,sipuq сущ
песни ительменские,xodilaʔn сущ
песня,čaqaʔɬes сущ
песня колыбельная,qerweʎu сущ
песок,tosx сущ
пест,spe сущ; tqniŋ сущ с.
пёстрая нерпа,kelilan сущ
пестрая птичка,atamsqəl сущ
пёстрый,keli прил
пестряк,məlʔarak сущ
песчаный,tosxʔan прил
петля,leqəl сущ; enat сущ
обуви -,aʎeʔn lek'il сущ
петля у вида легкой обуви,tnakel сущ
петух,petux сущ
петь,ŋrep- неп; čaqaʔɬ- неп; eʔŋuŋi- неп
петь по шамански,eŋeŋse- неп
петь прощальную песню,qolento- неп
петь ходилье,xodila- неп
пеуль,pewlumč сущ
печальный,makoʔlaχ прил
печень,pontapont сущ
печь,ojelatnom сущ; opečik сущ; peči сущ; pečiʔ сущ; pečeʔɬ- неп
пешком,ɬalaŋ нареч; ɬejwo нареч с.
пешком идти,ɬejwo- неп
пила,pileʔ сущ
пилить,piliʔɬ- неп; pilezaʔɬ- неп
пинаться,qepɬk'oɬ- неп
пировать,č'axɬ- неп; č'eɬelat- неп
писать,keli- п1; keliʔɬ- неп;
пищать,č'mamɬ- неп
пище улечься,et'osčo- неп
пищей давиться,it'emɬ- неп
плавать,wit- неп; pwat- неп; pwatet- неп; tӑlfs- неп; fi- неп; feɬat- неп
плавать долго,fet- неп
дистрибутивно,pwatet- неп
плавник,ŋojŋən сущ; taʔŋorečχ сущ; txločχ сущ
плавник рыбий,tewəč сущ
плавник рыбы,pipeʔleč сущ; tənzasχ сущ
плавничок,tewečχ сущ
плакать,ritwiriwu- неп; seŋɬzo- неп; fajxa- неп; č'mamɬ- неп; č'ŋel- неп
плакать навзрыд,seŋɬ- неп
плакса,č'ŋeɬu сущ
пламя раздувать,ənluʔɬ- п1; ənluʔɬet- п1
план,plan сущ
планка для петель на рубашке,keʔns- časχ неп
письменность,kelenom сущ
письменный,keleʔɬknen прил
письмо,kelekel сущ; kelenom сущ
пить,biwɨlik неп; wil- неп; wil- п1; il- неп с.; il- п1 с.; čaqaʔɬ- неп
пить до конца,wilet- неп
пить долго,ŋepɬ- неп
пить много,wilet- неп
пить хотеть,ik'sxuleʔɬ- неп
пить чай,imɬo- неп; čajʔa- неп
пить часто,wilet- неп
питье,wilnom сущ
пиши,keʔɲɬ- неп
пища,nowaɬes сущ; nonom сущ
пища для собак,opana сущ
пластать,axt- п1; xt- п1; əlfɬ- п1; əxt- неп с.
пластать;,əxt- п1
платить,wilet- п1; iɲɬ- п1
платок,plat сущ
плаха,ot's сущ
плач,fajxanom сущ
плевательница,asasjeɬxen сущ; ask're сущ
плевать,iɬxeɲčkeʔɬet- неп
плеваться,iɬxeɲčkeʔɬ- неп; iɬxeɲčkeʔɬet- неп
племянник,lufsx сущ
племянница,lufsx сущ
плен,tskawel- неп
на окна,k'azwizwač сущ
плести,omte- п1; tk'lo- п1; tk'lot- п1
плести что-либо,tχz- п1
плетеная связка мелкой рыбы,intχzesχ сущ
плетеная травяная корзина,č'ipsqel сущ
плетень рыбного запора,toʔses сущ
плечо,əntneŋ сущ
плешь,k'emsx сущ
плоды и ягоды,meɬqew сущ
плоский,aŋɬlaχ прил; apɬk'alaχ прил; oʎweʎaχ прил
плоский берег,iʔɲɬəm сущ; iʔɲɬəm сущ
плоский камень,zenzol сущ
плот,timitem сущ
плоть,kilwiɬχ сущ; tχaltχal сущ
плохо,qiwe нареч; χeqe нареч;
плохое сделать,aŋqan ənt- п1
плохой,qiwelaχ прил; χeqelaχ прил; χeqe нареч; ečk'elaχ прил
полуразвалившийся дом,kistaj сущ
площадь,ploɕːad' сущ
плыть,fi- неп
"плыть вверх, против течения",ӑlfs- неп
плыть по течению,wi- неп
плясать,istel- неп
по воде хлопать,ipəɬqe- неп
по делу говорить,ənʔi- п1
по имени называть,χelaʔɬ- п1
по реке бродить,tiwʎat- неп
по своим местам раскладывать,əzzut- п1
победа,anəɲčxčaʔɬnom сущ
победитель,anəɲčxčaʔɬkiɬχ сущ
побеждать,anəɲčxčaʔɬ- неп; əɲčxča- п1; əɲčxčazo- п1; əɲčxčat- п1
побелкой заниматься,beʎiʔɬ- неп
побережье,erwen сущ
побивать,netməɲɬ- неп; netməɲɬ- п1
побить,talawata- п1
поблескивать,atxk'za- неп
побоев следы,txɬnom сущ
действию,qle межд
повадиться приходить,k'oɬət- неп
повадки узнавать,χaq til- п2
повар,kkokazoʔan сущ
поварежкой зачерпывать,paju- неп
по-вашему,təzanɬxaneŋ нареч
повернуть,ənsxozŋata- п1
повесить,ənt'enŋa- п1
повеситься,k'up- неп
по-видимому,fisx межд
поворачивать,ənsxozŋa- п1; ənsxozŋazo- п1; ənsxozŋat- п1
поворачиваться,sxozŋa- неп; sxozŋazo- неп; sxozŋat- неп
обувь,fisfeʔn сущ
повседневные летние обуви,aʎeʔn сущ
погоды),aleʔn сущ
повторение,powtorеniе сущ
повторять,aɲčpakat- п1; qazalaʔɬ- неп; powtoras п1
повторять сказанное,qazala- п1
погасить свет,əntxun- п1
погибать,meč'- неп
погонялка для рыбы,imzateʔnəŋ сущ
пограничник,pograničnik сущ
пограничный,pograničnoj прил
погружать,insimpɬ- неп
погружаться,čkɬ- неп
погубить,l'et'el- п1; met'ele- п1
под,tnŭmk нареч; tnŭmke нареч; čəsk нареч; čəske нареч
подавать,zil- п1
"подальше от берега, от воды",nenomk нареч
подарок,gostint͡saʔ сущ; iɲčzum сущ
подбивка на лыже под ступней,anst'wolnoŋ сущ
подбирать,ənsxu- п1; enwel- неп
подбить кому-либо ногу,natkawa- п1
подбородок,kəmk'č сущ; k'imkč сущ
подвернуть,lopləmzo- п1
подвертывать,lopləmzotə- п1
подвесная детская люлька,zipke сущ
"подвесная колыбель, зыбка",zipkeʔ сущ
подвигать,tniɬet- п1; ənsč'ella- п1
подгорать,keŋret- неп
подготовлять,ɬinŋaziɬ- п1
поддакивать,č'sxən- неп
поддерживать,ənlola- п1
поделать,skala- п1
поджаривать,zare- неп
поджарить,zareʔɬ- неп
поджигать,netxaʔɬ- неп
поди,t'aɬi межд
подкармливать,ɬinnut- п1
подкладка для маленьких детей,pet сущ
подкладка у одежды,pkatnəŋ сущ
подкладывать детям подстилку,peteʔɬ- неп
подкладывать подстилку,peteʔɬ- п1
подклеивать,netməɲɬ- неп; netməɲɬ- п1
подкожная шкурка,eɬf сущ
подкопать,satola- п1
подлащиваться,awazeʔɬ- неп
подлесок березовый,ič'əmč сущ
подлый,qiwelaχ прил
подманить собак,alwolte- п1
подмастерье,k'ewərx сущ
подмерзать,katɬ- неп
подметать,mali- неп; mali- п1
подмышка,č'ezaq сущ
поднимать,ənsxu- п1; ənsxut- п1
поднимать наверх,tefs- п1
подниматься,sezza- неп; fne- неп; efs- неп
подняться,efsata- неп
подождать,kzu- п1
подозревать,čkzt- п1
подойти,t'aɬi межд
подол одежды,čoɬxən сущ
подошва,ečeŋəlŋən сущ
подошва горы,čoɬxən сущ
подошва ноги,manzəŋ сущ
подошва обуви,ačaŋəm сущ; ečeŋelŋəm сущ
подошвенный шов обуви,tniɬnoŋ сущ
подошвы подшивать,ečeʔɬ- п1; ečeʔɬet- п1
подпирать,čepə- п1; čepetə- п1
подпирать дверь,usk'ŋ- п1
подпорка,usk'əlŋin сущ; utknen сущ; čepnəŋ сущ
подпоясаться,sit- неп
подпоясываться,sit- неп
подпрыгивать,stk'ɬat- неп; st'kɬate- неп
подранить,ostala- п1
подрастать,esχte- неп
по-другому,ɬwaɬk'eɬ нареч; ɬwaɬ нареч
подружка,klelx сущ
подсказывать,lawala- п2; lat- п2
подскользнуться,iɬχap'es- неп
подслушивать,aləsk'waʔɬ- неп
подслушивать постоянно,aləsk'waʔɬat- неп
подсматривать,laxɬet- неп; čkzt- п1
подснежник,luqen сущ
подставить,pkɬala- п1
подставка,pkɬnom сущ
подножку,ɬinkup- п1
подставлять опору,čepə- п1
подставлять руку,ənamčetə- п1
подстерегать,fčoʔɬ- п1; eč'ewi- неп; eč'ewi- п1
подстилать,stiʔɬ- п1
подстилка,steʔnŏŋ сущ
подстилку детям подкладывать,peteʔɬ- неп
подстилку подкладывать,peteʔɬ- п1
подтирка,qajpsanoŋ сущ
подтягивать,txnetzo- неп; txnetzo- п1
подумать,ʷk'enezi- неп
по-дурному,aŋqansχ- А; aŋqansχq нареч; aŋqansχlaχ прил
подушка (деталь нарты),anzəlnom сущ
подходить тмалк,le- неп; tmalsa- неп; ənkɬ- неп с.
подшивать подошвы,ečeʔɬ- п1; ečeʔɬet- п1
подъезжаться тмалк,le- неп
подъем,efsnom сущ
подыматься,isxu- неп; efs- неп
подыматься наверх,efset- неп
подыматься немного,efsala- неп
поесть,nowala- неп; nowata- неп; tχӑl- п1
поесть чуть чуть,ansχčka- неп
пожалеть залка,iɬ- п1
пожарище,k'wak'wum сущ; lunom сущ
пожилой,d'ed'uŋslaχ прил
пожилой человек,metxlaχ сущ
пожирать живьем,peč- неп
позавчера,qolank нареч
позади,salk нареч
позапрошлый год,t'aɬanank нареч; xiʔixltu нареч
позвать,oč'- п1; oč'ata- п1
позволять,iti- п1
позвонок,k'awapk'ol сущ
позвоночник,k'awač сущ
поздно,pozda нареч
поздравлять,pozdrawɬa- п1
позывы к тошноте,iʔlaket- неп
поиграть,maʔɬ- неп
поискать,enxtata- п1
поить,ɬinwili- п1
по-ихнему,txiinɬxaneŋ нареч
пойти выбрать кого-либо,čelata- п2
подуть,tlu- п1
подушка,snəŋ сущ; ənsnaŋ сущ
пойти выстрелить,ɬotata- неп
пойти достать что-либо,əlʔata- п2
пойти за дровами,ŋelata- неп
пойти закрыть,sopata- п1
пойти занести,tewata- п2
пойти купить,eɲɬata- неп
пойти лечь,sollata- неп; eɬčata- неп
пойти мочиться,tχezata- неп
пойти надеть что-либо,txɬata- п1
пойти налить,lensata- п1
пойти отрезать,əmpχata- п1
пойти побить,talawata- п1
пойти подняться,efsata- неп
пойти поесть,nowata- неп
пойти позвать,oč'ata- п1
пойти поискать,enxtata- п1
пойти покормить,ɬennowata- п1
пойти помочь,ənk'zowata- п1
пойти попросить,kaŋɬata- неп
пойти посмотреть,ɬčkowata- п1
пойти постоять,tχzowata- неп
пойти потереть,tozata- п1
пойти потрогать,ənč'owata- п1
пойти пощупать,tillatata- п1
пойти принести,t'fɬata- п2
пойти рассказать,lawata- п2
пойти расспросить,ɬeɲɬlatazo- п1
пойти сделать,skawata- п1
покойник,k'ezzatt'klač сущ
покормить,ɬennowala- п1
покос,koseʔɬnom сущ; Пxaʎaʔɲč собств с.; Сtworaʔn собств с.
покос на левом берегу,Пxaʎaʔɲč собств
покос на левом берегу Йикив,Кoɲeʔn собств
берегу Йикив,Рučke собств
покоситься,sqens- неп; sč'aʔŋa- неп
покоситься слегка,sč'aʔŋala- неп
покрасить,anzazo- п1
покрывать крышу,time- п1
покрываться грязью,keɬč'alti- неп
покрываться звездами,ŋezete- неп
покрываться лишаем,əmk'əsxti- неп
покрываться льдом,kətwolte- неп
покрываться облаками,ŋizzalti- неп
покрываться сыпью,esxti- неп
покрыться копотью,iperwe- неп
покрышка,ensčineŋ сущ
покупатель,iɬtəlχ сущ;
ягоды,axɬata- п1
покупать,insxiʔɬ- неп; iɲɬ- неп;
пойти спросить,ɬeɲɬlata- п1
пока,əŋki межд
показывать,ɬnečkoŋi- п1; ɬeɲɬo- п1; sŋečkoŋ- п1; ənksxli- п1
показывать что-либо,aɲɬo- п1
показываться,ksxle- неп; əlxp- неп; əlxpit- неп
покачиваться,χele- неп
покаяние,teŋsenom сущ
покидать,inoms- неп; umz- п1 iɲɬit- неп; enɬala- п2
пол,pol сущ
