слово,диалект,фонетический вариант,северный диалектный вариант,часть речи,грамматические пометы,инфинитив,множественное число,общее число,толкование,ссылка,,,,,,
нарта,,,,существительное,,,нартаʔн,,нарта,,,,,,,
нас-,,,,глагол,непереходный,наскас,,,"спускаться (сверху), слезать",тнас-,,,,,,
наслэдствоʔ,,,,существительное,,,-,,наследство,,,,,,,
насном,,,,существительное,,,насноʔн,,"место, где обычно спускаются с обрыва, сопки",,,,,,,
насхэнԓ-,,,,глагол,непереходный,насхэнԓкас,,,"нагибаться, сгибаться",,,,,,,
наткава-,,,,глагол,переходный1,наткавас,,,"искалечить кого либо, подбить кому-либо ногу, сделать хромым",иннаткава-,әннаткава-,,,,,
наука,,,,существительное,,,наукаʔн,,наука,,,,,,,
нвонкэ,,,,наречие,,,,,"так, таким образом",,,,,,,
нвэтваӄэн,,,,прилагательное,,,,,прямой,,,,,,,
нвэч,,,,местоимение,,,,,то,,,,,,,
нвэʔн,,,,местоимение,,,,,те,,,,,,,
нгукунгуку,,,,существительное,,,,,гоголи (водяные птицы),,,,,,,
нкәњчах,,,,существительное,,,,,утка-каменушка,,,,,,,
нмитӄэн,,нмитӄән,,прилагательное,,,,,"грамотный, ловкий, умелый",нмитӄэн,,,,,,
нмитӄэн,,нмитӄән,,существительное,,,,,"мастер, умелец, умный человек знающий все",нмитӄэн,,,,,,
новала-,,,,глагол,непереходный,новалакас,,,"немного поесть, закусить",ԓэнновала-,,,,,,
новаԓэс,,,,существительное,,,новаԓэзэʔн,,"пища, кушанье",,,,,,,
новата-,,,,глагол,непереходный,новатакас,,,пойти поесть,ԓэнновата-,,,,,,
новаʔԓном,,,,существительное,,,новаʔԓноʔн,,столовая,,,,,,,
новогодњой,,,,прилагательное,,,,,новогодний,,,,,,,
новой,,,,прилагательное,,,,,новый,,,,,,,
нозницаʔн,,,,существительное,,,same,,ножницы,,,,,,,
нома-,,,,глагол,переходный1,номас,,,"греть, согревать, нагревать, разогревать",,,,,,,
номӄэн,,,,прилагательное,,,,,толстый (о человеке),,,,,,,
номӄэн лэ-,,,,глагол,непереходный,номӄэн лэкас,,,"толстеть, увеличиваться",,,,,,,
номэр,,,,существительное,,,номэраʔн,,номер,,,,,,,
нон,,,,существительное,,,ноʔн,,клюв,,,,,,,
нон-,,,,глагол,переходный1,нонэс,,,"собирать, сгребать что-либо в кучу",нонэʔԓ-,,,,,,
нонкʼавач,,,,существительное,,,нонкʼаваʔн,,"мифическое существо, его можно видеть в тундре, если слишком поздно (осенью) пойдешь собирать кипрей (обычно можно видеть не более одного)",,,,,,,
ноном,,,,существительное,,,ноноʔн,,"1) еда, пища; корм; 2) пастбище",,,,,,,
ноӈӄаʔԓэт-,,,,глагол,переходный1,ноӈӄаʔԓэтэс,,,"инф гасить что-то целиком или дистрибутивно; закрывать глаза плотно, не подсматривать",,,,,,,
нос,,ноз,,существительное,,,нозэʔн,,юкола (вяленая рыба),,,,,,,
нотан,,,,существительное,,,нотаʔн,,"рыба, вяленая целиком (хребет не вынут)",,,,,,,
ноч,,,,существительное,,,ночэʔн,,берлога,,,,,,,
ноябр,,,,существительное,,,-,,ноябрь;,,,,,,,
ноʔӈӄаʔԓ-,,ноӈкаʔԓ-,,глагол,переходный1,ноʔӈӄаʔԓэс,,,"1) гасить, тушить,
потушить; 2) закрывать глаза",ноʔӈӄаʔԓ-,,,,,,
ноʔӈӄаʔԓ-,,ноӈкаʔԓ-,,глагол,непереходный,ноʔӈӄаʔԓкас,,,"тушить, заниматься тушением",ноʔӈӄаʔԓ-,,,,,,
нтытылаӽ,,,,прилагательное,,,,,"умный, грамотный",,,,,,,
нтытыӈсӄ,,,,наречие,,,,,"умно, с умом ",,,,,,,
нтэлан,,,,прилагательное,,,,,рогатый,,,,,,,
нтэнʔан,,,,прилагательное,,,,,роговой (сделанный из рога),,,,,,,
ну,,,,местоимение,,,,,"тот (та, то)",,,,,,,
ну,,,,междометие,,,,,ну,,,,,,,
ну-,,,,глагол,непереходный,нокас,,,есть (питаться),,,,,,,
нужной,,,,прилагательное,,,,,нужный,,,,,,,
нука,,,,междометие,,,,,ну-ка,,,,,,,
нуљљувала-,,,,глагол,переходный1,нуљљувалас,,,немного уменьшить что-либо,,,,,,,
нуљуʔа-,,,,глагол,переходный1,нољоʔас,,,уменьшать,,,,,,,
нуԓэнт,,,,существительное,,,нуԓэнтэʔн,,"опухоль, отек",,,,,,,
нура,,,,наречие,,,,,долго,,,,,,,
нустахчаӽ,,,,существительное,,,-,,бог,,,,,,,
нутԓун,,,,существительное,,,,,"холодные сени, пристройка дощатая к дому (совр.); место у дверей",,,,,,,
нутэн,,,,существительное,,,нутэʔн,,чистая поляна,,,,,,,
нутэчӽ,,,,существительное,,,нутэʔњч,,"сердце (человека, животного)",,,,,,,
нуулхуюгула,,,,существительное,,,,,полночь,,,,,,,
нух,,нуф,,наречие,,,,,"здесь, вот",,,,,,,
нухӄэнэ,,,,наречие,,,,,"тут, здесь",,,,,,,
нуч,,,,существительное,,,нучэʔн,,дверь,,,,,,,
нчайэмкэнин,,,,существительное,,,,,"водка, вино",,,,,,,
нывлс-,,,,глагол,переходный1,нывлсэс,,,"удлинить, сделать длиннее что-либо",,,,,,,
нывлсиʔԓи-,,,,глагол,переходный1,нэвлсэʔԓэс,,,удлинять,,,,,,,
нывныԓ,,,,наречие,,,,,много,,,,,,,
ныву-,,,,глагол,переходный1,нывус,,,"собирать, накапливать что-либо",,,,,,,
нызлы-,,,,глагол,непереходный,нэзлэкас,,,"чувствовать, почувствовать",,,,,,,
ныкԓфаʔԓ-,,,,глагол,непереходный,ныкԓфаʔԓкас,,,"терять, ронять, быть растяпой",,,,,,,
ныкумсалаʔԓ-,,,,глагол,переходный1,ныкумсалаʔԓэс,,,немного укорачивать что-либо,,,,,,,
ныкәмс-,,,,глагол,переходный1,ныкәмсэс,,,"укоротить, сократить что-либо",,,,,,,
ныкэлаӽ,,,,прилагательное,,,,,быстрый,,,,,,,
ныкʼи-,,,,глагол,непереходный,нэкʼэкас,,,"искать, заниматься поисками (в доме, среди вещей)",ныкʼи-,,,,,,
ныкʼи-,,,,глагол,переходный1,ныкʼис,,,"искать что-либо (в доме, среди вещей)",ныкʼи-,,,,,,
ныкʼизви-,,ныкʼәзэ,,глагол,непереходный,ныкʼизвикас,,,"сушить, заниматься
сушкой",,,,,,,
ныкʼил-,,,,глагол,переходный1,ныкʼилэс,,,ударить кого-либо,,,,,,,
ныкʼилэʔнәӈ,,,,существительное,,,,,"обшивка, кайма у обуви, одежды, плетеной корзины женского капора",,,,,,,
ныкʼупӈиʔԓ-,,,,глагол,непереходный,ныкʼопӈэʔԓкас,,,душить,,,,,,,
ныӄа,,,,наречие,,,,,быстро,,,,,,,
ныӄэʔнәӈ,,,,существительное,,,ныӄэʔнэʔн,,ключ (от замка),,,,,,,
ныԓчи-,,,,глагол,переходный1,нэԓчэс,,,"успокаивать, утешать",,,,,,,
ныԓчит-,,,,глагол,переходный1,нэԓчэтэс,,,"успокаивать кого-либо, постоянно, обычно, всегда",ныԓчэтэʔԓ-,,,,,,
ныԓчэʔԓ-,,,,глагол,непереходный,нэԓчэʔԓкас,,,"успокаивать, успокоительно действовать",,,,,,,
нынал,,,,существительное,,,-,,заросли кипрея,,,,,,,
ныныԓ,,нывныԓ,,наречие,,,,,много,,,,,,,
ныныԓʔан,,,,прилагательное,,,,,многое,,,,,,,
нынәм,,нынэм,,существительное,,,нынэʔн,,кипрей (одно растение) употребляется в пищу (стебль) в копченом виде,,,,,,,
нынэʔ,,,,существительное,,,-,,курильский ветер (восток-юго-восток),,,,,,,
ныӈ-,,,,глагол,переходный1,нэӈэс,,,"грузить, нагружать",ныӈит-,ныӈиʔԓ-,ныӈ-,,,,
ныӈ-,,,,глагол,непереходный,нэӈкас,,,грузить(ся),ныӈит-,ныӈиʔԓ-,ныӈ-,,,,
ныӈт-,,,,глагол,непереходный,ныӈткас,,,собирать кипрей (в пищу),,,,,,,
ныпвэӄин,,,ныпухэӄэн,прилагательное,,,,,быстрый,,,,,,,
нырвал,,,,существительное,,,-,,заросли конского щавеля,,,,,,,
нырви-,,,,глагол,непереходный,нэрвэкас,,,пропитаться запахами,,,,,,,
нырвин,,,,существительное,,,нырвэʔн,,конский щавель,,,,,,,
нырвуӄэн,,,,прилагательное,,,,,острый,,,,,,,
ныс-,,,,глагол,непереходный,нэскас,,,охотиться,,,,,,,
нысилан,,нысәлан,,существительное,,,нысилаʔн,,охотник,,,,,,,
ныскʼи-,,,,глагол,переходный2,нэскʼэкас,,,"обнюхивать, нюхать (кого-л., что-л.)",ныскʼиʔԓ-,ныскʼи-,,,,,
ныскʼи-,,,,глагол,непереходный,нэскʼэкас,,,нюхать ,ныскʼиʔԓ-,ныскʼи-,,,,,
ныст-,,,,глагол,непереходный,нысткас,,,совокупляться (однократно),,,,,,,
ныст-,,,,глагол,переходный1,нэстэс,,,"совокупляться с кем-либо (однократно), прелюбодействовать",,,,,,,
нысч-,,,,глагол,переходный1,нэсчэс,,,смазывать жиром что-либо,,,,,,,
ныта,,,,существительное,,,-,,"1) душа; ум; 2) душа, все что находится в
грудной клетке (сердце, легкие тд); потроха (жив)",,,,,,,
нытасхэн-,,,,глагол,непереходный,нэтасхэнкас,,,"беспокоиться, волноваться,
переживать, страдать душевно",,,,,,,
нытʼиʔԓ-,,,,глагол,непереходный,нытʼиʔԓкас,,,дымить,,,,,,,
нытʼԓә-,,,,глагол,непереходный,нэтʼԓэʔԓкас,,,мстить (за кого-л.),,,,,,,
нычӽалӄ,,,,наречие,,,,,быстро,,,,,,,
нәкʼзуʔԓ-,,,,глагол,непереходный,нәкʼзуʔԓкас,,,"помогать, оказывать помощь",,,,,,,
нәӄвлаʔԓ-,,,,глагол,непереходный,нәӄвлаʔԓкас,,,"трещать, хрустеть",,,,,,,
нәлкәʔлэʔԓ-,,,,глагол,переходный1,нәлкәʔлэʔԓэс,,,удивлять,,,,,,,
нәмсхуʔԓ-,,,,глагол,переходный1,нәмсхуʔԓэс,,,облегчить кого-либо,,,,,,,
нәмтэлэ-,,,,глагол,непереходный,нәмтэлэкас,,,гостить,,,,,,,
нәмтʼл-,,,,глагол,переходный1,нәмтʼлэс,,,"глотать кого-либо, что-либо",,,,,,,
нәмтʼл-,,,,глагол,переходный1,нәмтʼлэс,,,"убирать, прибирать что-либо (дом, сарай)",,,,,,,
нәнсном,,,,существительное,,,,,ремешок на обуви,,,,,,,
нәњч,,,,существительное,,,нәњчэʔн,,рыба,,,,,,,
нәӈчʼӈо-,,,,глагол,переходный1,нәӈчʼӈос,,,мутить (воду),,,,,,,
нәптәԓаваʔԓ-,,,,глагол,непереходный,нәптәԓаваʔԓкас,,,"ранить, наносить раны",,,,,,,
нәрӄԓ-,,,,глагол,непереходный,нәрӄԓкас,,,"храпеть (во сне), фыркать (лошадь)",,,,,,,
нәсхлэʔԓ-,,,,глагол,непереходный,нәсхлэʔԓкас,,,будить,,,,,,,
нәтԓкэ-,,,,глагол,непереходный,нәтԓкэкас,,,ронять,,,,,,,
нәфәлкʼа-,,,,глагол,непереходный,нәфәлкʼакас,,,глотать с жадностью (давиться),,,,,,,
нәчоԓаԓнŏӈ,,,,существительное,,,нәчоԓаԓноʔн,,грелка,,,,,,,
нэвлаз,,,,существительное,,,,,один из центральных кольев запора,,,,,,,
нэвнэ-,,,,глагол,переходный1,нэвнэс,,,собирать (что-л.),нэвнэʔԓ-,,,,,,
нэдэљаʔ,,,,существительное,,,нэдэљаʔн,,неделя,,,,,,,
нэзва-,,,,глагол,непереходный,нэзвакас,,,целиться,нэзва-,,,,,,
нэзва-,,,,глагол,переходный1,нэзвас,,,целиться (в кого-л.),нэзва-,,,,,,
нэзоӄʼа-,,,,глагол,переходный1,нэзоӄʼас,,,"сделать ниже, укоротить что-либо",нэзоӄʼат-,,,,,,
нэзэсх,,,,существительное,,,нэзэсхаʔн,,вязка гольцов,,,,,,,
нэзэʔԓ-,,,,глагол,непереходный,нэзэʔԓкас,,,"нанизывать на прут пойманную рыбу
(обычно гольцов)",,,,,,,
нэксама,,,,наречие,,,,,"богато, обильно",,,,,,,
нэксамин,,,,прилагательное,,,,,"богатый, имеющий много добра",,,,,,,
нэкстәм,,,,существительное,,,нэкстэʔн,,щавель,,,,,,,
нэкʼа-,,,,глагол,переходный1,нэкʼас,,,"перерывать, перешаривать что-либо",,,,,,,
нэԓ-,,,,глагол,переходный1,нэԓэс,,,"заставлять кого-либо, попросить, заказывать",,,,,,,
нэԓчэном,,,,существительное,,,-,,утешение,,,,,,,
нэԓʔчала-,,,,глагол,переходный1,нэԓʔчалас,,,"успокаивать кого-либо (слегка), укладывать спать ребенка",,,,,,,
нэмчʼкʼэлэʔԓ-,,,,глагол,непереходный,нэмчʼкʼэлэʔԓкас,,,"инф надоедать, быть надоедливым, назойливым",,,,,,,
нэном,,,,существительное,,,нэноʔн,,"фульгурит, песок сплавившийся от удара молнии, употребляется как кресало, и сейчас как скребок для выделки шкур",,,,,,,
нэномк,,,,наречие,,,,,"подальше от берега, от воды (находясь на суше)",,,,,,,
нэнпәнт,,,,существительное,,,нэнпәнтэʔн,,"сноп, связка сырого кипрея (только что собранного и еще не обработанного)",,,,,,,
нэӈԓэл-,,,,глагол,переходный1,нэӈԓэлэс,,,"сгружать (что-либо частично), снимать часть груза (с юрты и т.п.)",нэӈԓэлэтә-,,,,,,
нэӈэʔԓном,,,,существительное,,,нэӈэʔԓноʔн,,вилы,,,,,,,
нэпайса-,,,,глагол,переходный1,нэпайсас,,,"вздуть, отлупить кого-либо, попарить кого-либо (в бане)",,,,,,,
нэпунэч,,,,существительное,,,,,"кусок ткани, пришиваемый к шейной части летнего капора",,,,,,,
нэпэлхо-,,,,глагол,непереходный,нэпэлхокас,,,выспаться,,,,,,,
нэпэӈ-,,,,глагол,переходный1,нэпэӈэс,,,посыпать что-либо,нэпэӈэт-,нэпэӈэʔԓ-,,,,,
нэс-,,,,глагол,непереходный,нэскас,,,охотиться,,,,,,,
нэскла-,,,,глагол,непереходный,нэсклакас,,,"стесняться, смущаться",,,,,,,
нэскʼэкас,,,,глагол,непереходный,нэскʼэкас,,,нюхать,,,,,,,
нэсном,,,,существительное,,,нэсноʔн,,охота,,,,,,,
нэспәл,,,,существительное,,,нэспәʔл,,"перенога (м. русск. охот.), пороша, закрывший ночью все старые следы, можно пойти по свежим следам",,,,,,,
нэспәл-,,,,глагол,непереходный,нэспәлкас,,,порошить,,,,,,,
нэст-,,,,глагол,переходный1,нэстэс,,,просить что-либо,нэстзо-,нэст-,,,,,
нэст-,,,,глагол,непереходный,нэсткас,,,"просить, попрошайничать",нэстзо-,нэст-,,,,,
нэстзо-,,,,глагол,переходный1,нэстзос,,,совокупляться с кем-либо,нэстзо-,,,,,,
нэстзо-,,,,глагол,непереходный,нэстзос,,,совокупляться,нэстзо-,,,,,,
нэстрам,,,,существительное,,,нэстрамиʔн,,попрошайка,,,,,,,
нэсчзо-,,,,глагол,переходный1,нэсчзос,,,смазывать что-либо жиром,,,,,,,
нэсэмӄ,,,,наречие,,,,,ещё,,,,,,,
нэсэӈ-,,,,глагол,переходный1,нэсэӈэс,,,проливать (кровь),,,,,,,
нэтмәњԓ-,,"нэтмәнԓ-, нэтмиԓ-, нэтмәԓ-",,глагол,переходный1,нэтмәњԓэс,,,"клеить, приклеивать; склеивать; подклеивать что-либо, побивать что-либо (например нарту железом)",нэтмәњԓ-,,,,,,
нэтмәњԓ-,,"нэтмәнԓ-, нэтмиԓ-, нэтмәԓ-",,глагол,непереходный,нэтмәњԓкас,,,"подклеивать, побивать (лыжи, полозья)",нэтмәњԓ-,,,,,,
нэтхаʔԓ-,,,,глагол,непереходный,нэтхаʔԓкас,,,"зажигать, поджигать",,,,,,,
нэтхваʔԓ-,,,нэтха,глагол,непереходный,нэтхваʔԓкас,,,"забывать, быть забывчивым",,,,,,,
нэтхлаʔԓ-,,,,глагол,непереходный,нэтхлаʔԓкас,,,пугать,,,,,,,
нэтʼԓэном,,,,существительное,,,,,отмщение,,,,,,,
нэтʼԓэс,,,,существительное,,,-,,месть,,,,,,,
нэхиркʼат-,,,,глагол,непереходный,нэхиркʼаткас,,,"хрустеть, специальный глагол относящийся к сбору әлкләм (кимчиги). При обнаружении мышиного склада с помощью протыкания земли палкой с гвоздем, сложенные в нем корнеплоды издают характерный хруст",,,,,,,
нэʔн,,,,наречие,,,,,"теперь, нынче, на этот раз",,,,,,,
нэʔнанаӈсӄ,,нэʔнанаӈск,,наречие,,,,,"по-новому, по-теперешнему",,,,,,,
њаачиԓ,,,,наречие,,,,,"один/одна, без других, в одиночестве",,,,,,,
њања,,,,существительное,,,њањаʔн,,1) старшая сестра; 2) няня,,,,,,,
њањаʔԓ-,,,,глагол,переходный1,њањаʔԓэс,,,няньчить,,,,,,,
њэвњэʔлкас,,,,глагол,непереходный,,,,грести,,,,,,,
њэвэста,,,,существительное,,,њэвэстаʔн,,невеста,,,,,,,
њэкак,,,,наречие,,,,,"невозможно, никак",,,,,,,
њэњэкэчӽ,,њэњэкʼэчӽ,,существительное,,,њэњэкэʔњч,,маленький ребёнок (дошкольного и младшего школьного возраста),,,,,,,
њэрпа,,,,существительное,,,њэрпаʔн,,нерпа,,,,,,,
њэрпускʼэчӽ,,,,существительное,,,,,нерпушка,,,,,,,
њэту,,,,наречие,,,,,нет,,,,,,,
њэхиӄʼэвлаӽ,,,,прилагательное,,,,,"слабый, несильный",,,,,,,
њэʔњсхчʼэʔн,,,,существительное,,,same,,"детвора, ребята",,,,,,,
ӈавкэр,,,,существительное,,,,,женская одежда,,,,,,,
ӈавкэрачӽ,,,калӈакэрчаӽ,существительное,,,,,детский комбинезон,,,,,,,
ӈайн,,,,существительное,,,,,хребет гор,,,,,,,
ӈакок,,,,существительное,,,ӈакокаʔн,,"«мышиная постель», в мышиной норе, логово из мелко нарезанной травы в виде шара, внутри которого мыши спят",,,,,,,
ӈакокачӽ,,,,существительное,,,ӈакокаʔњч,,мышиная постелька,,,,,,,
ӈаԓх-,,,,глагол,непереходный,ӈаԓхкас,,,жениться,ԓинӈаԓх-,ӈаԓхат-,,,,,
ӈаԓхат-,,,,глагол,непереходный,ӈаԓхаткас,,,жениться многократно или дистрибутивно,,,,,,,
ӈапскʼэлты-,,,,глагол,непереходный,ӈапскʼэлтыкас,,,"иметь нос, полный козявок (обычно у детей)",,,,,,,
ӈапскʼэл,,,,существительное,,,ӈапскʼэʔл,,козявки в носу,,,,,,,
ӈапсхат-,,,,глагол,непереходный,ӈапсхаткас,,,дремать,,,,,,,
ӈасӄәл,,,,существительное,,,ӈасӄәʔл,,птица пестрая (синица),,,,,,,
ӈачас,,,,существительное,,,ӈачазэʔн,,"едучий дым, дым, от которого режет глаза",,,,,,,
ӈачас-,,,,глагол,непереходный,ӈачаскас,,,"находиться в дыму, задыхаться от дыма",,,,,,,
ӈачасӄ,,,,наречие,,,,,"дымно, душно, угарно",,,,,,,
ӈачкʼэлӄ,,,,наречие,,,,,громко,,,,,,,
ӈачкʼэллаӽ,,,,прилагательное,,,,,громкий,,,,,,,
ӈаʔно-,,,,глагол,непереходный,ӈаʔнокас,,,"просыпаться, открывать глаза со",ӈаʔност-,,,,,,
ӈиззал,,,,существительное,,,ӈиззаʔл,,облако,,,,,,,
ӈиззалты-,,,,глагол,непереходный,ӈиззалтэкас,,,покрываться облаками (небо),,,,,,,
̊ӈикԓ-,,,,глагол,непереходный,̊ӈэкԓкас,,,спать,,,,,,,
ӈикԓхим,,миӄԓхим,,существительное,,,ӈикԓхмиʔн,,самка соболя,,,,,,,
̊ӈикси-,,,,глагол,непереходный,̊ӈэксэкас,,,засыпать,,,,,,,
̊ӈиксины-,, ̊ӈиксиӈы-,,глагол,непереходный,̊ӈэксэнэкас,,,"заснуть (крепко), крепко спать",,,,,,,
ӈиӄсӽ,,,,существительное,,,ӈиӄсӽэʔн,,"сука, собака-самка",,,,,,,
ӈил-,,,,глагол,непереходный,ӈэлкас,,,"возить дрова, ездить за дровами",ӈэлата-,,,,,,
ӈилкӈилк,,,,существительное,,,-,,гной,,,,,,,
ӈилкты-,,,,глагол,непереходный,ӈилктэкас,,,"гноиться, нарывать",,,,,,,
ӈилӈил,,,,существительное,,,ӈиʔл,,"1) рыбья икра (свежая и сушеная); 2) икроножная мышца (рука, нога лапа человека/животного)",,,,,,,
ӈилӈилсхаӽ,,,,существительное,,,ӈилӈилсхаӽэʔн,,икринка,,,,,,,
ӈимсх,,,,существительное,,,ӈимсхэʔн,,женщина;,,,,,,,
ӈимсхʔин пʼэч,,,йимсхʔин пʼэч,существительное,,,,,дочь (женский ребенок),,,,,,,
ӈинсхэʔԓ-,,,,глагол,непереходный,ӈинсхэʔԓкас,,,возить дрова,,,,,,,
ӈиӈикʼ,,,,существительное,,,ӈиӈикʼэʔн,,засоня,,,,,,,
ӈипсхэн-,,,,глагол,непереходный,ӈэпсхэнкас,,,"долго рассиживаться за едой, чаем, копаться за едой",,,,,,,
ӈисчэʔԓ-,,,,глагол,непереходный,ӈэсчэʔԓкас,,,"засалиться, запачкаться жиром или иной пищей",,,,,,,
ӈитԓ-,,,,глагол,переходный1,ӈэтԓэс,,,обижать кого-либо,,,,,,,
ӈиты-,,,,глагол,переходный1,ӈэтэс,,,"беречь, хранить, сохранять; стеречь",кӈитэʔин,,,,,,
ӈич,,,,существительное,,,ӈиʔн,,жена,,,,,,,
ӈич-,,,,глагол,непереходный,ӈэчкас,,,заболеть (неизвестно чем),,,,,,,
ӈичк,,,,существительное,,,ӈичкэʔн,,табак,,,,,,,
ӈичхэӈ-,,,,глагол,переходный1,ӈичхэӈэс,,,рассыпать приманку (возле ловушки),,,,,,,
ӈойӈән,,,,существительное,,,ӈойӈәʔн,,плавник,,,,,,,
ӈоԓкат-,,,,глагол,непереходный,ӈоԓкаткас,,,кататься по льду,,,,,,,
ӈоԓкэӈ,,,,существительное,,,ӈоԓкэʔн,,"ледяная полянка, естественный каток - гладкая ледяная площадка на которой можно кататься",,,,,,,
ӈонкэ,,,,наречие,,,,,"1) обыкновенно; 2) так, также",,,,,,,
ӈонкэнлаӽ,,,,прилагательное,,,,,обыкновенный,,,,,,,
ӈосх,,ӈосӽ,,существительное,,,ӈосхэʔн,,"хвост (рыбы, зверя)",,,,,,,
ӈрэп-,,,,глагол,непереходный,ӈрэпкэс,,,петь,,,,,,,
ӈуʔн,,"ӈуʔӈу, ӈуʔну",,наречие,,,,,"здесь, тут",,,,,,,
ӈәлӈәл,,ӈәԓ,,существительное,,,,,распорка у бата,ӈәԓ,,,,,,
ӈэвин,,,,существительное,,,,,самка рыбы,,,,,,,
ӈэззэчӽ,,,,существительное,,,ӈэззэʔњч,,звезда,,,,,,,
ӈэзэтэ-,,,,глагол,непереходный,ӈэзэтэкас,,,покрываться звездами (о ночном ясном небе),,,,,,,
ӈэйӈал,,,,существительное,,,,,"горный хребет, горы, гористая местность, хайрюзовские хребты",,,,,,,
ӈэйӈэ,,,,существительное,,,ӈэйӈэʔн,ӈэйӈал,"гора, сопка",,,,,,,
ӈэйу-,,,,глагол,непереходный,ӈэйокас,,,"наедаться досыта, насыщаться",,,,,,,
ӈэйэм,,,,существительное,,,ӈэйэмиʔн,,"одичавшее животное, гл. образом собака",,,,,,,
̊ӈэкԓном,,,,существительное,,,̊ӈэкԓноʔн,,спальня,,,,,,,
ӈэкʼол-,,,,глагол,непереходный,ӈэкʼолкас,,,"ломать, заниматься ломанием",,,,,,,
ӈэлп-,,,,глагол,непереходный,,,,вставать,,,,,,,
ӈэлпэʔн,,,,существительное,,,same,,вешала (для рыбы),,,,,,,
ӈэлхсԓ-,,,,глагол,непереходный,ӈэлхсԓкас,,,возить дрова,,,,,,,
ӈэлэ,,,,существительное,,,ӈэлэʔн,,"стадо (оленей, коров)",,,,,,,
ӈэԓэӈԓх,,,,существительное,,,ӈэԓэӈԓэʔн,,выдра,,,,,,,
ӈэӈэзэӈ,,,,существительное,,,"ӈэӈэзэʔн, ӈэӈэзэʔњч",ӈэӈэзал,"хвощ, жесткая трава, заросли хвоща",,,,,,,
ӈэпԓ-,,,,глагол,непереходный,ӈэпԓкас,,,"пить долго, без конца",,,,,,,
ӈэскла-,,,,глагол,непереходный,ӈэсклакас,,,"стесняться, смущаться",,,,,,,
ӈэсткʼэԓчӽ,,,,существительное,,,ӈэсткʼэԓʔњч,,"капля, капелька (воды и т.д.)",,,,,,,
обложка,,,,существительное,,,обложкаʔн,,обложка,,,,,,,
общество,,,,существительное,,,-,,общество,,,,,,,
обэдаʔԓ-,,,,глагол,непереходный,обэдаʔԓкас,,,обедать,,,,,,,
ова-,,,,глагол,переходный1,овас,,,целовать (один раз),овасхэн-,оваʔԓ-,,,,,
овасхэн-,,,,глагол,переходный1,овасхэнэс,,,целоваться (много раз),,,,,,,
овочʼкэл-,,овочкʼэл-,,глагол,непереходный,овочʼкэлкас,,,"проваливаться в снег, под лед и тп",,,,,,,
огород,,,,существительное,,,огородаʔн,,огород,,,,,,,
огурэц,,,,существительное,,,огурцаʔн,,огурец,,,,,,,
одинаковой,,,,прилагательное,,,,,одинаковый,,,,,,,
одэздаʔн,,,,существительное,,,same,,одежда,,,,,,,
озал,,,,существительное,,,-,,эхо,,,,,,,
озала-,,,,глагол,непереходный,озалакас,,,раздаваться (о звуке); отдаваться (эхом),,,,,,,
озэлном,,,,существительное,,,озэлноʔн,,ушиб,,,,,,,
оймаролваӈ,,,,существительное,,,оймаролваʔн,,"невысокий щелястый навес, устраиваемый в юрте; на нем коптили стебли кипрея для еды; на нем же иногда спали, така как на нем было теплее, чем на земле",,,,,,,
ойэлалат-,,,,глагол,непереходный,ойэлалаткас,,,"протапливать немного, слегка",,,,,,,
ойэлат-,,,,глагол,непереходный,ойэлаткас,,,"топить (печь), протапливать",ойэлатном,,,,,,
ойэлатном,,,,существительное,,,ойэлатноʔн,,"очаг, печь",,,,,,,
окном,,,,существительное,,,,,окно,,,,,,,
окноʔан,,,,прилагательное,,,окноʔн,,оконный,,,,,,,
окнуч,,,,существительное,,,-,,окно,,,,,,,
ократ-,,,,глагол,непереходный,ократкас,,,"пылать, сильно гореть",,,,,,,
октябр,,,,существительное,,,-,,октябрь,,,,,,,
оленевод,,,,существительное,,,оленеводаʔн,,оленевод,,,,,,,
олла,,,,предлог,,,,,"возле, около, у",,,,,,,
олмэ-,,,,глагол,непереходный,олмэкас,,,останавливаться,,,,,,,
олонкачх,,,,существительное,,,,,"утка, разновидность крохаля",,,,,,,
ољвэљаӽ,,,,прилагательное,,,,,"тонкий (и в то же время плоский) (о шкурке, бумаге, льде)",,,,,,,
ољосэ-,,,,глагол,непереходный,ољосэкас,,,уменьшаться,,,,,,,
ољэстэр,,,,существительное,,,,,ружейный чехол,,,,,,,
оԓхэн,,,,существительное,,,оԓхэʔн,,"верхушка (дерева), вершина (горы)",,,,,,,
омакаӈ,,,омоком,наречие,,,,,вместе,,,,,,,
омакаӈ ԓ-,,,,глагол,непереходный,омакаӈ ԓкас,,,участвовать (букв. быть вместе),,,,,,,
омакат-,,,,глагол,непереходный,омакаткас,,,собираться,,,,,,,
омаком,,,,наречие,,,,,вместе,,,,,,,
омкав-,,,,глагол,непереходный,омкавкас,,,греться,,,,,,,
омӄ,,,,наречие,,,,,тепло,,,,,,,
омлаӽ,,,,прилагательное,,,,,тёплый,,,,,,,
омԓхат-,,омԓхэт-,,глагол,непереходный,омԓхаткас,,,греться,,,,,,,
омоком,,,,наречие,,,,,вместе,,,,,,,
омрок,,,,существительное,,,,,весна,,,,,,,
омса-,,,,глагол,непереходный,омсакас,,,теплеть (о погоде),номса-,,,,,,
