Ительменское слово,Русское слово
ensčet- неп,одеялом укрываться
ʷqɲiŋ числ,один
ɲaačiɬ нареч,один
ɬoʔnaŋsez сущ,запора
newlaz сущ,запора
odinakowoj прил,одинаковый
eʎwəmək сущ,одинарная кухлянка
ʷqniŋačχ прил,один-одинёшенек
nеimtu З. сущ,гора
ŋejem сущ,одичавшее животное
qtxewzəŋ сущ,одна половина штанов
paskezalŋən сущ с. ,одна половина штанов
kuniɬwin нареч,однажды
kuneɬeŋ нареч с. ,однажды
qun нареч,однажды
kəʔmxaɬ союз,однако
č'ŋzɨpeʔlenəŋ сущ,конца ловушки запора
qnaŋza нареч,одновременно
aɲts сущ,одр
izli- неп,оживать
ənt'izliʔɬ- п1,оживлять
ənk'wa- п1,ожигать
k'wak'wum сущ,ожог
natxsaw- п1,озарять
ʷkəɬf сущ,озеро
Кʎučeken собств,озеро севернее о. Мээнто
laxɬet- неп,озираться
ɬčkust- п1,озираться
ɬapxač'e- неп,озорничать
ɬiweklin- неп,озорничать
iŋiŋi межд,ой
učučux межд,ой
mexnu нареч,оказывается
inənk'zuʔɬ- неп,оказывать помощь
nək'zuʔɬ- неп,оказывать помощь
wate- неп,окаменеть
loŋaʔɬ- неп,окинуть ее взглядом
ənkel- п1,окликать
aʔnwses сущ,окно
oknom сущ,окно
oknuč сущ,окно
q'le- неп,околачиваться без дела
aŋqan ənt- п1,околдовать
zestaʔɬa- п1,околдовывать
kztaɬ- п1,околдовывать
olla предл,около
tk'ŋoč сущ,оконечность бата
oknoʔan прил,оконный
piɲɬf- ilalɬel- п1,окончить
ilalɬel- п1,окорять
ənɬimza- п1,окровавить
twil- п2,окружать
txwəlet- неп,окружать
txwəletə- п1,окружать
oktяbr сущ,октябрь
olеnеwod сущ,оленевод
čaʔwat- неп,оленей ловить
qeŋučχ сущ,олененок
teqesχ сущ,олененок
qetχ сущ,олений жир
xatpal сущ,олений мох
qos сущ,олень
ɬxejwak сущ,олень
χiwŋelan сущ,"олень дикий, самец"
irwutam сущ,оленьей кости осколок
ʷkič'e сущ,олень-самец
sitɬ сущ,оленья жила
sizŋit'ɬ сущ,оленья нога
sap сущ,оленья шкура
iɬχpete сущ,оленя мясо
qoreɬmat- неп,оленя убить
kskət сущ,ольха
kskət сущ,ольха горная
kskət сущ,ольха тундровая
ilal сущ,ольховая кора
kskizla- п1,ольхой красить
kskəzzal сущ,ольшаник
ənna мест,он
fiɲɲatɬ мест,он сам
ʷfnewa мест,он сам
wne мест,"он сам, она сама"
ənna мест,она
tɬwinetɬ мест,она в одиночку
fiɲɲatɬ мест,она сама
ʷfnewa мест,она сама
itχ мест,они
ʷtɬwin мест,они сами
ənna мест,оно
čkɬ- неп,онуть
peqse- неп,опадать
pesčkɬ- неп,опадать
tsӑl- неп,опадать
opozdaʔɬ- неп,опаздывать
kɬxmas сущ,опана
qsχares сущ,опана
aɬa- неп,опираться
zəl- неп,опираться
aɬat- неп,опираться многократно
enɬentɬxoŋ- п1,оплевывать
əntni- п1,опоражнивать
čepə- п1,опору подставлять
χeqe iɬ- п1,опровергать
ənpiŋeʔɬ- п1,опрокидывать
ənpiŋeʔɬet- п1,опрокидывать
ənp'əlk'e- п1,опрокидывать
ənsč'aʔŋa- п1,опрокидывать
sč'aʔŋa- неп,опрокинуться
ənɬ- неп,опухать
nuɬent сущ,опухоль
ənɬenom сущ,опухоль
utejneŋ сущ,опушка
irʔirič сущ,опушка капюшона кухлянки
irʔirič сущ,опушка мужского капора
muxta сущ с. ,опушка мужского капора
tewut нареч,опять
tenaq нареч,опять
ordеn сущ,орден
sleč сущ,орел
kuɲɬel сущ,орех кедровый
kaɬimto- неп,орехи грызть
kuneʔɬ- неп,орехи грызть
koɲɬeɬtwaʔɬ- неп,орехи шелушить
kuɲɬel сущ,орешек кедровый
pojtəl сущ,оружие
los сущ,оружие типа лука с прикладом
t'was сущ,оса
osəl сущ,осел
pnawŏm сущ,оселок
ktxleʔin прил,осенний
ktxast- неп,осеновать
ktxlenɬ- неп,осеновать
ktxast- неп,осень проводить
ktxle нареч,осенью
atxkəzəm сущ,осина
leŋa uʔ сущ,осина
χeqewjep- п1,оскорблять
qaʔm- неп,оскорбляться
ɬčkust- п1,осматривать
č'et- п1,осматривать
əɬčkuste- п1,осматривать
ɬčkust- п1,осматриваться
ɬiŋweju iɬ- п1,осмеивать
iɬ- п1,хиԓивайу
tnakol сущ,основание дерева
q'eq'um сущ,осока
sxəm сущ,корзин
kzeɬ- неп,оставаться
fti- неп,оставаться
ənfteʔɬ- п1,оставить
inoms- неп,оставлять
umz- п1,оставлять
ənkzeɬ- п1,оставлять
anxča- п1,оставлять (кому-л. что-л. из еды)
ənfti- п1,оставлять в покое
enftes инф п1,оставлять в покое
ɬkzi- неп,оставлять следы
inŋukelaχeʔn прил,остальной
ənt'unmiʔɬ- п1,останавливать
olme- неп,останавливаться
onmalat- неп,останавливаться
umni- неп с. ,останавливаться
unmi- неп,останавливаться
unmist- неп,останавливаться
unmit- неп,останавливаться
onmala- неп,останавливаться ненадолго
onmenom сущ,остановка
onmestnom сущ,остановка
aʔnxčas сущ,остаток еды
osxtleniŋ сущ,остол
ostxleləŋ сущ,управления нартой
xaʔrat- неп,остолом тормозить
telwečq нареч,осторожно
ʷɬemč сущ,остров
marek сущ,острога
wostroj прил,острый
ik'sxulaχ прил,острый
nirwuqen прил с. ,острый
nuɬent сущ,отек
isx сущ,отец
otkazaʔɬ- неп,отказываться
aɬtsxen- неп,откликаться
irwutam сущ qazalaʔɬ- неп,откликаться
txɬ- п1,острым тыкать
ənksiɬ- п1,остужать
ksene- неп,остывать
lasχtel- п1,осуждать
xek'omla- п1,осуждать
xek'əmla- п1,осуждать
t'lenom сущ,осыпь
wen- неп,от края отходить
iʔnuxt- неп,отбирать
iʔnuxt- п1,отбирать
enawna- п1 с. ,отбирать
zəmčɬ- п1,отбиться
χeqe iɬ- п1,отвергать
eqel- п1,отвергать
č'enom сущ,отверстие
trubusin сущ,отверстие в стене или потолке
aʔnwses сущ,отверстие для света
trubusin сущ,отверстие для чада
ənt'ilwiziɬala- п1,отвести
ɬo- п1,отвечать
aɲčpat- неп,отвечать на вопросы
ənč'elazo- п1,отвлекать
ənt'ilwiziɬ- п1,отводить
eqel- п1,отводить
uzenx- неп,отгадывать
əllatsxen- п1,отгадывать
zil- п1,отдавать
kʎčlate- неп,отдавать кислым
ozala- неп,отдаваться
ənmeč'as- п1,отдалять
ɬman нареч,отдельно
ʷstopk'ul сущ,вого стланика
ɬmat- неп,отделяться
qenʔesəm сущ,отдых
qenʔisi- неп,отдыхать
qenʔisit- неп,отдыхать
uraturi- неп с. ,отдыхать
qenʔisit- неп,отдыхать как следует
aɬt- неп,откликаться на зов
aɬtsxen- неп,откликаться на зов многократно
panenajp- неп,откровенно разговаривать
fačza- неп,открывать
ənqe- п1,открывать
ənɬi- п1,открывать
ŋaʔno- неп,открывать глаза со сна
iqi- неп,открываться
kənqeʔin прил,открытый
manxʔal нареч,откуда
ansχɬ- неп,откусывать
eʔrum сущ,отлив
ɬwaɬte- неп,отличаться
otličnik сущ,отличник
brawo нареч,отлично
otlično нареч,отлично
ɬwaɬʔan прил,отличный
nepajsa- п1,отлупить
otmеtka сущ,отметка
ililet- п1,отмечать путь вешками
net'ɬenom сущ,отмщение
ənt'ilwiziɬala- п1,отнести
iʔnuxt- неп,отнимать
iʔnuxt- п1,отнимать
teʔɬ- п1,относить
teʔɬet- п1,относить
ənt'ilwiziɬ- п1,относить
nomsa- п1,отогревать
it'ɬqre- п1,отпарывать
ɬinzaɬt- п1,отправлять
ɬintewuŋ- п1,отправлять
ənsxezi- п1,отправлять
sxezi- неп,отправляться в путь
spŋel- неп,отпрашивать(ся)
ənksi- п1,отпускать
ənqsi- п1,отпускать
ənqsit- п1,отпускать
fet'ɬχet'ɬ сущ,отражение
əmpχata- п1,отрезать
əmpχe- п1,отрезать
əɬtq- п1,отрезать кончик уха
xiʔŋiŋlaχ прил,отремонтированный
qaʔm част,отрицание
pxe- неп,отрываться
pxetit- неп,отрываться
otrɨwok сущ,отрывок
esəʔŋɬem сущ,отрыжка
ipɬχnowal сущ,отряд
kzeɬ- неп,отставать
əntpɬet- п1,отстегивать
ilewe- неп,отсыревать
wotxal нареч с. ,отсюда
txʔal нареч,отсюда
ənt'ilwiziɬala- п1,оттащить
uttuwalŋən сущ,оттуга
χoxʔal нареч,оттуда
asato- неп,отхаркивать мокроту
asato- неп,отхаркиваться
ɬinɬxe- неп,отхаркиваться
iɬ- п1,отцом признавать исхэки
esxeɬzo- неп,отцом признавать исхэки
wen- неп,круг во время танца
isxeʔsx сущ,отчим
sč'elala- неп,отъезжать недалеко
kassa- неп,отяжелеть
iŋiŋi межд,ох
ɬiɲɬeruŋ- п1,охаивать
inzesχ сущ,охапка
atal- неп,охать
atalkas инф неп,охать
ɬəm- неп,охота
nis- неп,охотиться
nes- неп,охотиться
oxot'eɬ- неп,охотиться
sinatala- неп,охотиться
met'sk'ente- неп,охотиться на медведя
ijanɬk- неп,охотиться на морского зверя
nisilan сущ,охотник
ɬmenom сущ,охотничье угодье
ɬmas сущ,охотничья добыча
bajdar сущ,охотничья лодка
xčoɬ- п1,охранять
txwəletə- п1,оцеплять
ojelatnom сущ,очаг
ʎwi нареч,очень
ʎi нареч с. ,очень
kɬəŋqsxi нареч,очень больно
kɬč'eweze нареч,очень вкусно
kɬŋačeza нареч,очень дымно
kɬčispeŋin нареч,очень страшно
naɬ- п1,очищать шкуру
česteʔɬnom сущ,очищение
očkaʔn сущ,очки
kztaɬ- п1,ошаманивать
čamla- п1,ошаманивать
kwəlwŭm сущ,ошейник
intinniw- неп,ошибаться
intənmeʔɬ- неп,ошибаться
tsxil- неп,ошибаться
tsxeʔles сущ,ошибка
is- п1,ошпарить
is- неп,ошпариться
ənmit- п1,ощипывать
ənmi- п1,ощипывать перья
tillat- неп,ощупывать
tillat- п1,ощупывать
iʔlaket- неп,ощущать тошноту
ič- неп,падать
kzi- неп,падать
tsӑl- неп,падать
tslat- неп,падать
tplasxen- неп,падать в обморок
toalnom сущ,падение
kəɲč сущ,падушка
č'afkram сущ,падшая женщина
paŋza- п2,пазуха
paŋzaŋ сущ,пазуха
paŋzat- п2,пазуха
paŋzaŋ сущ,подпоясанной кухлянкой
koɬton сущ,пакет
aɲčxčaŋ- неп,пакостить
Кɬxit собств,Палана
polok сущ,палатка
lufɬič сущ,палец
asolŋəŋ сущ с. ,палец большой
timkč сущ,палец большой
aɲɬoʔɬknen сущ,палец указательный
keŋč сущ,палка
usk'əlŋin сущ,палка
uʔ сущ,палка
əmzatinəŋ сущ,палка
χezum сущ,палка для привязывания собак
əmzatinəŋ сущ,"палка, чтобы рыбу погонять"
umuɬk'eʔn сущ,палочки
paɬtoʔ сущ,пальто
lewečχ сущ,пальчик у маленького ребенка
pamяtnik сущ,памятник
txeɬnom сущ,память
papa сущ,папа
ʷt'it'im сущ,пар
lupsisχ сущ,сердцевины кипрея
χaqa сущ,парадная комната
ʎapxač'eraŋ сущ,паразит
katxzeʔn сущ,паразиты
χoʎa сущ,парень
poje- неп,париться (еда)
partaʔ сущ,парта
partizan сущ,партизан
partizanskoj прил,партизанский
parus сущ,парус
asxəm сущ,пастбище
nonom сущ,пастбище
anfčoʔɬ- неп,пасти
xčoɬ- п1,пасти стадо
xčoɬ- ,пасти стадо
anxčoʔɬkaɬχ сущ,пастух
fačza- неп,пасть открывать
patron сущ,патрон
ʷsik'k'aj сущ,паук
sik'uk' сущ,паук
sač'eŋ сущ,пах
paxaʔɬ- неп,пахать
sq- неп,пахнуть
sqka- неп,пахнуть
əlk'sezo- п1,пачкать
əlk'sezo- неп,пачкаться
anzazo- неп,пачкаться многократно
č'umk'e- п1,пеленать
tnakol сущ,пень
ʷpiŋpiŋ сущ,пепел
peŋpeŋjoɬxen сущ,пепельница
piŋlaχ прил,пепельный цвет
xepoxpx сущ,первосвященик
perwoj прил,первый
perwoj прил,первый
tkupenpaw сущ,первый от центра запор
luqen сущ,из-под снега
inčileʔɬ- неп,перебирать
χaʔmne- неп,переваливать через гору
xəʔmne- неп,переваливать через хребет
kiw собств,Колвоч
ŋejŋe собств,Переваљной
et'osčo- неп,переварить
ənɬemza- п1,место
əntxla- п2,перевозить
tqəz- п1,перевозить через реку
ənpiŋeʔɬ- п1,переворачивать
ənpneʔɬ- п1,переворачивать
ənsč'aʔŋa- п1,переворачивать
sxozŋa- неп,переворачиваться
ɬčkust- п1,переглядываться
ənpeskoz- п1,перегонять
kɬfəɲčk нареч,перед
ənsč'ella- п1,передвигать
kɬfəɲčʔan прил,передний
feečχ сущ,летней обуви
uwik сущ,передняя часть одежды
tqəz- п1,переправлять
ənta- неп,переправляться
əntat- неп sizŋit'ɬ сущ,переправляться
pеrеdowoj прил,передовой
qazala- п1,передразнивать
qazalaʔɬ- неп,передразнивать
ənta- неп,переезжать
jalwet- неп,переезжать на другое место
xəʔmne- неп,переезжать через горы
krurew- неп,переживать
nitasxen- неп,переживать
čalxta- п1,переживать
kank- неп,перезимовать
k'izwizweč сущ,перекат
epewrəŋ сущ,перекат
lukel- неп,перекликаться
tqens- п1,перекосить
txwəlet- неп,перекрывать путь
pələt- п2,перекусывать все предметы
təʔmne- п1,перелезать
χaʔmne- неп,перелезать через забор
lusiŋit- неп,перелетать
siŋet- неп,перелетать с места на место
ip- неп,переливать через край
pеrеmеna сущ,перемена
koremt сущ,переметка
kakf сущ,перен
pənk'eč сущ,перенога
nespəl сущ,свежим следам
timpɬ- п1,переносить
əntxla- п2,переносить
szu- п2,переносить на спине
keʔɲɬetnom сущ,перепись
əntanom сущ,переправа
twajt- неп,перепрыгивать
twajtat- неп,перепрыгивать
twajtzo- неп,перепрыгивать
twajčo- неп,перепрыгивать
ənq'lt- п1,перепутать
q'le- неп,перепутаться
qenʔesəm сущ,перерыв
nek'a- п1,перерывать
ənsialwet- п1,переселять
ənsialwetet- п1,переселять
la- п2,пересказывать
ɬxilŋi- неп,переставать
ənk'exsa- п1,пересушить
ɬnisxini- п1,пересчитывать
k'isxɬet- неп,пересыхать
insimpɬ- п1,перетаскивать быстро
ɬnisxini- п1,перечитывать
čmaqa- п1,перешагивать
čmaqat- п1,перешагивать
ənfaqt- п1,перешагивать заставлять
nek'a- п1,перешаривать
čeɬxčeɬx сущ,перо
ənmi- п1,перья ощипывать
etɬxte- неп,перьями обрастать
sipuq сущ,песец
xodilaʔn сущ,песни ительменские
čaqaʔɬes сущ,песня
qerweʎu сущ,песня колыбельная
tosx сущ,песок
spe сущ,пест
tqniŋ сущ с. ,пест
kelilan сущ,пёстрая нерпа
atamsqəl сущ,пестрая птичка
keli прил,пёстрый
məlʔarak сущ,пестряк
tosxʔan прил,песчаный
leqəl сущ,петля
enat сущ,петля
aʎeʔn lek'il сущ,обуви -
tnakel сущ,петля у вида легкой обуви
petux сущ,петух
ŋrep- неп,петь
čaqaʔɬ- неп,петь
eʔŋuŋi- неп,петь
eŋeŋse- неп,петь по шамански
qolento- неп,петь прощальную песню
xodila- неп,петь ходилье
pewlumč сущ,пеуль
makoʔlaχ прил,печальный
pontapont сущ,печень
ojelatnom сущ,печь
opečik сущ,печь
peči сущ,печь
pečiʔ сущ,печь
pečeʔɬ- неп,печь
ɬalaŋ нареч,пешком
ɬejwo нареч с. ,пешком
ɬejwo- неп,пешком идти
pileʔ сущ,пила
piliʔɬ- неп,пилить
pilezaʔɬ- неп,пилить
qepɬk'oɬ- неп,пинаться
č'axɬ- неп,пировать
č'eɬelat- неп,пировать
keli- п1,писать
keliʔɬ- неп,писать
č'mamɬ- неп,пищать
et'osčo- неп,пище улечься
it'emɬ- неп,пищей давиться
wit- неп,плавать
pwat- неп,плавать
pwatet- неп,плавать
tӑlfs- неп,плавать
fi- неп,плавать
feɬat- неп,плавать
fet- неп,плавать долго
pwatet- неп,дистрибутивно
ŋojŋən сущ,плавник
taʔŋorečχ сущ,плавник
txločχ сущ,плавник
tewəč сущ,плавник рыбий
pipeʔleč сущ,плавник рыбы
tənzasχ сущ,плавник рыбы
tewečχ сущ,плавничок
ritwiriwu- неп,плакать
seŋɬzo- неп,плакать
fajxa- неп,плакать
č'mamɬ- неп,плакать
č'ŋel- неп,плакать
seŋɬ- неп,плакать навзрыд
č'ŋeɬu сущ,плакса
ənluʔɬ- п1,пламя раздувать
ənluʔɬet- п1,пламя раздувать
plan сущ,план
keʔns- časχ неп,планка для петель на рубашке
kelenom сущ,письменность
keleʔɬknen прил,письменный
kelekel сущ,письмо
kelenom сущ,письмо
biwɨlik неп,пить
wil- неп,пить
wil- п1,пить
il- неп с. ,пить
il- п1 с. ,пить
čaqaʔɬ- неп,пить
wilet- неп,пить до конца
ŋepɬ- неп,пить долго
wilet- неп,пить много
ik'sxuleʔɬ- неп,пить хотеть
imɬo- неп,пить чай
čajʔa- неп,пить чай
wilet- неп,пить часто
wilnom сущ,питье
keʔɲɬ- неп,пиши
nowaɬes сущ,пища
nonom сущ,пища
opana сущ,пища для собак
axt- п1,пластать
xt- п1,пластать
əlfɬ- п1,пластать
əxt- неп с. ,пластать
əxt- п1,пластать;
wilet- п1,платить
iɲɬ- п1,платить
plat сущ,платок
ot's сущ,плаха
fajxanom сущ,плач
asasjeɬxen сущ,плевательница
ask're сущ,плевательница
iɬxeɲčkeʔɬet- неп,плевать
iɬxeɲčkeʔɬ- неп,плеваться
iɬxeɲčkeʔɬet- неп,плеваться
lufsx сущ,племянник
lufsx сущ,племянница
tskawel- неп,плен
k'azwizwač сущ,на окна
omte- п1,плести
tk'lo- п1,плести
tk'lot- п1,плести
tχz- п1,плести что-либо
intχzesχ сущ,плетеная связка мелкой рыбы
č'ipsqel сущ,плетеная травяная корзина
toʔses сущ,плетень рыбного запора
əntneŋ сущ,плечо
k'emsx сущ,плешь
meɬqew сущ,плоды и ягоды
aŋɬlaχ прил,плоский
apɬk'alaχ прил,плоский
oʎweʎaχ прил,плоский
iʔɲɬəm сущ,плоский берег
iʔɲɬəm сущ,плоский берег
zenzol сущ,плоский камень
timitem сущ,плот
kilwiɬχ сущ,плоть
tχaltχal сущ,плоть
qiwe нареч,плохо
χeqe нареч,плохо
aŋqan ənt- п1,плохое сделать
qiwelaχ прил,плохой
χeqelaχ прил,плохой
χeqe нареч,плохой
ečk'elaχ прил,плохой
kistaj сущ,полуразвалившийся дом
ploɕːad' сущ,площадь
fi- неп,плыть
ӑlfs- неп,"плыть вверх, против течения"
wi- неп,плыть по течению
istel- неп,плясать
ipəɬqe- неп,по воде хлопать
ənʔi- п1,по делу говорить
χelaʔɬ- п1,по имени называть
tiwʎat- неп,по реке бродить
əzzut- п1,по своим местам раскладывать
anəɲčxčaʔɬnom сущ,победа
anəɲčxčaʔɬkiɬχ сущ,победитель
anəɲčxčaʔɬ- неп,побеждать
əɲčxča- п1,побеждать
əɲčxčazo- п1,побеждать
əɲčxčat- п1,побеждать
beʎiʔɬ- неп,побелкой заниматься
erwen сущ,побережье
netməɲɬ- неп,побивать
netməɲɬ- п1,побивать
talawata- п1,побить
atxk'za- неп,поблескивать
txɬnom сущ,побоев следы
qle межд,действию
k'oɬət- неп,повадиться приходить
χaq til- п2,повадки узнавать
kkokazoʔan сущ,повар
paju- неп,поварежкой зачерпывать
təzanɬxaneŋ нареч,по-вашему
ənsxozŋata- п1,повернуть
ənt'enŋa- п1,повесить
k'up- неп,повеситься
fisx межд,по-видимому
ənsxozŋa- п1,поворачивать
ənsxozŋazo- п1,поворачивать
ənsxozŋat- п1,поворачивать
sxozŋa- неп,поворачиваться
sxozŋazo- неп,поворачиваться
sxozŋat- неп,поворачиваться
fisfeʔn сущ,обувь
aʎeʔn сущ,повседневные летние обуви
aleʔn сущ,погоды)
powtorеniе сущ,повторение
aɲčpakat- п1,повторять
qazalaʔɬ- неп,повторять
powtoras п1,повторять
qazala- п1,повторять сказанное
əntxun- п1,погасить свет
meč'- неп,погибать
imzateʔnəŋ сущ,погонялка для рыбы
pograničnik сущ,пограничник
pograničnoj прил,пограничный
insimpɬ- неп,погружать
čkɬ- неп,погружаться
l'et'el- п1,погубить
met'ele- п1,погубить
tnŭmk нареч,под
tnŭmke нареч,под
čəsk нареч,под
čəske нареч,под
zil- п1,подавать
nenomk нареч,"подальше от берега, от воды"
gostint͡saʔ сущ,подарок
iɲčzum сущ,подарок
anst'wolnoŋ сущ,подбивка на лыже под ступней
ənsxu- п1,подбирать
enwel- неп,подбирать
natkawa- п1,подбить кому-либо ногу
kəmk'č сущ,подбородок
k'imkč сущ,подбородок
lopləmzo- п1,подвернуть
lopləmzotə- п1,подвертывать
zipke сущ,подвесная детская люлька
zipkeʔ сущ,"подвесная колыбель, зыбка"
tniɬet- п1,подвигать
ənsč'ella- п1,подвигать
keŋret- неп,подгорать
ɬinŋaziɬ- п1,подготовлять
č'sxən- неп,поддакивать
ənlola- п1,поддерживать
skala- п1,поделать
zare- неп,поджаривать
zareʔɬ- неп,поджарить
netxaʔɬ- неп,поджигать
t'aɬi межд,поди
ɬinnut- п1,подкармливать
pet сущ,подкладка для маленьких детей
pkatnəŋ сущ,подкладка у одежды
peteʔɬ- неп,подкладывать детям подстилку
peteʔɬ- п1,подкладывать подстилку
netməɲɬ- неп,подклеивать
netməɲɬ- п1,подклеивать
eɬf сущ,подкожная шкурка
satola- п1,подкопать
awazeʔɬ- неп,подлащиваться
ič'əmč сущ,подлесок березовый
qiwelaχ прил,подлый
alwolte- п1,подманить собак
k'ewərx сущ,подмастерье
katɬ- неп,подмерзать
mali- неп,подметать
mali- п1,подметать
č'ezaq сущ,подмышка
ənsxu- п1,поднимать
ənsxut- п1,поднимать
tefs- п1,поднимать наверх
sezza- неп,подниматься
fne- неп,подниматься
efs- неп,подниматься
efsata- неп,подняться
kzu- п1,подождать
čkzt- п1,подозревать
t'aɬi межд,подойти
čoɬxən сущ,подол одежды
ečeŋəlŋən сущ,подошва
čoɬxən сущ,подошва горы
manzəŋ сущ,подошва ноги
ačaŋəm сущ,подошва обуви
ečeŋelŋəm сущ,подошва обуви
tniɬnoŋ сущ,подошвенный шов обуви
ečeʔɬ- п1,подошвы подшивать
ečeʔɬet- п1,подошвы подшивать
čepə- п1,подпирать
čepetə- п1,подпирать
usk'ŋ- п1,подпирать дверь
usk'əlŋin сущ,подпорка
utknen сущ,подпорка
čepnəŋ сущ,подпорка
sit- неп,подпоясаться
sit- неп,подпоясываться
stk'ɬat- неп,подпрыгивать
st'kɬate- неп,подпрыгивать
ostala- п1,подранить
esχte- неп,подрастать
ɬwaɬk'eɬ нареч,по-другому
ɬwaɬ нареч,по-другому
klelx сущ,подружка
lawala- п2,подсказывать
lat- п2,подсказывать
iɬχap'es- неп,подскользнуться
aləsk'waʔɬ- неп,подслушивать
aləsk'waʔɬat- неп,подслушивать постоянно
laxɬet- неп,подсматривать
čkzt- п1,подсматривать
luqen сущ,подснежник
pkɬala- п1,подставить
pkɬnom сущ,подставка
ɬinkup- п1,подножку
čepə- п1,подставлять опору
ənamčetə- п1,подставлять руку
fčoʔɬ- п1,подстерегать
eč'ewi- неп,подстерегать
eč'ewi- п1,подстерегать
stiʔɬ- п1,подстилать
steʔnŏŋ сущ,подстилка
peteʔɬ- неп,подстилку детям подкладывать
peteʔɬ- п1,подстилку подкладывать
qajpsanoŋ сущ,подтирка
txnetzo- неп,подтягивать
txnetzo- п1,подтягивать
ʷk'enezi- неп,подумать
aŋqansχ- А,по-дурному
aŋqansχq нареч,по-дурному
aŋqansχlaχ прил,по-дурному
anzəlnom сущ,подушка (деталь нарты)
le- неп,подходить тмалк
tmalsa- неп,подходить тмалк
ənkɬ- неп с. ,подходить тмалк
ečeʔɬ- п1,подшивать подошвы
ečeʔɬet- п1,подшивать подошвы
le- неп,подъезжаться тмалк
efsnom сущ,подъем
isxu- неп,подыматься
efs- неп,подыматься
efset- неп,подыматься наверх
efsala- неп,подыматься немного
nowala- неп,поесть
nowata- неп,поесть
tχӑl- п1,поесть
ansχčka- неп,поесть чуть чуть
iɬ- п1,пожалеть залка
k'wak'wum сущ,пожарище
lunom сущ,пожарище
d'ed'uŋslaχ прил,пожилой
metxlaχ сущ,пожилой человек
peč- неп,пожирать живьем
qolank нареч,позавчера
salk нареч,позади
t'aɬanank нареч,позапрошлый год
xiʔixltu нареч,позапрошлый год
oč'- п1,позвать
oč'ata- п1,позвать
iti- п1,позволять
k'awapk'ol сущ,позвонок
k'awač сущ,позвоночник
pozda нареч,поздно
pozdrawɬa- п1,поздравлять
iʔlaket- неп,позывы к тошноте
maʔɬ- неп,поиграть
enxtata- п1,поискать
ɬinwili- п1,поить
txiinɬxaneŋ нареч,по-ихнему
čelata- п2,пойти выбрать кого-либо
tlu- п1,подуть
snəŋ сущ,подушка
ənsnaŋ сущ,подушка
ɬotata- неп,пойти выстрелить
əlʔata- п2,пойти достать что-либо
ŋelata- неп,пойти за дровами
sopata- п1,пойти закрыть
tewata- п2,пойти занести
eɲɬata- неп,пойти купить
sollata- неп,пойти лечь
eɬčata- неп,пойти лечь
tχezata- неп,пойти мочиться
txɬata- п1,пойти надеть что-либо
lensata- п1,пойти налить
əmpχata- п1,пойти отрезать
talawata- п1,пойти побить
efsata- неп,пойти подняться
nowata- неп,пойти поесть
oč'ata- п1,пойти позвать
enxtata- п1,пойти поискать
ɬennowata- п1,пойти покормить
ənk'zowata- п1,пойти помочь
kaŋɬata- неп,пойти попросить
ɬčkowata- п1,пойти посмотреть
tχzowata- неп,пойти постоять
tozata- п1,пойти потереть
ənč'owata- п1,пойти потрогать
tillatata- п1,пойти пощупать
t'fɬata- п2,пойти принести
lawata- п2,пойти рассказать
ɬeɲɬlatazo- п1,пойти расспросить
skawata- п1,пойти сделать
k'ezzatt'klač сущ,покойник
ɬennowala- п1,покормить
koseʔɬnom сущ,покос
Пxaʎaʔɲč собств с. ,покос
Сtworaʔn собств с. ,покос
Пxaʎaʔɲč собств,покос на левом берегу
Кoɲeʔn собств,покос на левом берегу Йикив
Рučke собств,берегу Йикив
sqens- неп,покоситься
sč'aʔŋa- неп,покоситься
sč'aʔŋala- неп,покоситься слегка
anzazo- п1,покрасить
time- п1,покрывать крышу
keɬč'alti- неп,покрываться грязью
ŋezete- неп,покрываться звездами
əmk'əsxti- неп,покрываться лишаем
kətwolte- неп,покрываться льдом
ŋizzalti- неп,покрываться облаками
esxti- неп,покрываться сыпью
iperwe- неп,покрыться копотью
ensčineŋ сущ,покрышка
iɬtəlχ сущ,покупатель
axɬata- п1,ягоды
insxiʔɬ- неп,покупать
iɲɬ- неп,покупать
ɬeɲɬlata- п1,пойти спросить
əŋki межд,пока
ɬnečkoŋi- п1,показывать
ɬeɲɬo- п1,показывать
sŋečkoŋ- п1,показывать
ənksxli- п1,показывать
aɲɬo- п1,показывать что-либо
ksxle- неп,показываться
əlxp- неп,показываться
əlxpit- неп,показываться
χele- неп,покачиваться
teŋsenom сущ,покаяние
inoms- неп,покидать
umz- п1 iɲɬit- неп,покидать
enɬala- п2,покидать
pol сущ,пол
"kiwečχ , sеd. собств",полвинка река Половинан
pawuznaʔ сущ,полдник
usx сущ,поле
sollala- неп,полежать
sollata- неп,полежать
sollala- неп,полежать недолго
qečisiŋlaχ прил,полезный
poʎeznoj прил,полезный
usk'əlŋin сущ,полено
uʔ сущ,полено
χotsa- неп,полететь
ɬalxte- неп,ползать
ipstu- п1,поливать
lins- п1,поливать
ipstu- п1,поливать (цветы)
panzamač сущ,полка
ktxnuʔin прил,полный
ktirwitknen прил,полный
aʔnoŋ сущ,половина рыбьей тушки
č'afk сущ,половой орган
pilk'e сущ,половой член
qəlq сущ,половой член мужской
əzu- п1,положить
əzzotnom сущ,положить
əzzu- п1,положить
əzus- п1 с. ,положить
