Русское слово,Ительменское слово,Часть речи
открывать фачза- неп; п1;,әнӄэ-; әнԓи-,п1
открывать глаза со сна,ӈаʔно-,неп
открываться,иӄи-,неп
открытый,кәнӄэʔин,прил
откуда,манхʔал,нареч
откусывать,ансӽԓ-,неп
отлив,эʔрум,сущ
отличаться,ԓваԓтэ-,неп
отличный,ԓваԓʔан,прил
отлупить,нэпайса-,п1
отмечать путь вешками,илылэт-,п1
отмщение,нэтʼԓэном,сущ
отнести,әнтʼилвизиԓала-,п1
отнимать неп;,иʔнухт-; иʔнухт-,"п1, п1"
относить п1; п1;,тэʔԓ-; тэʔԓэт-; әнтʼилвизиԓ-,п1
отпарывать,итʼԓӄрэ-,п1
отправлять п1; п1;,ԓинзаԓт-; ԓинтэвуӈ-; әнсхэзи-,п1
отправляться в путь,схэзи-; спӈэл-,"неп, неп"
отпускать п1; п1;,әнкси-; әнӄси-; әнӄсит-,п1
отражение,фэтʼԓӽэтʼԓ,сущ
отрезать п1;,әмпӽата-; әмпӽэ-,п1
отрезать кончик уха,әԓтӄ-,п1
отремонтированный,хиʔӈиӈлаӽ,прил
отрицание част,ӄаʔм,
отрываться пхэ- неп;,пхэтыт-,неп
отрыжка,эсәʔӈԓэм,сущ
отряд,ипԓӽновал,сущ
отставать,кзэԓ-,неп
отстегивать,әнтпԓэт-,п1
отсыревать,илэвэ-,неп
отсюда вотхал с.;,тхʔал,нареч
оттащить,әнтʼилвизиԓала-,п1
оттуга,уттувалӈән,сущ
оттуда,ӽохʔал,нареч
отхаркиваться асато- неп;,ԓинԓхэ-,неп
отцом признавать п1;,исхэки; иԓ-; эсхэԓзо-,неп
отчим,исхэʔсх,сущ
отъезжать недалеко,счʼэлала-,неп
ох,иӈиӈи,межд
охаивать,ԓињԓэруӈ-,п1
охапка,инзэсӽ,сущ
охота,ԓәм-,неп
охотиться ныс- неп; нэс- неп; неп; синатала-,охотьэԓ-,
охотиться на медведя,мэтʼскʼэнтэ-,неп
охотиться на морского зверя,ийанԓк-,неп
охотничье угодье,ԓмэном,сущ
охотничья добыча,ԓмас,сущ
охранять,хчоԓ-,п1
оцеплять,тхвәлэтә-,п1
очень нареч;,љви; љи,нареч
очень больно,кԓәӈӄсхи,нареч
очень вкусно,кԓчʼэвэзэ,нареч
очень дымно,кԓӈачэза,нареч
очень страшно,кԓчиспэӈин,нареч
очищать шкуру,наԓ-,п1
очищение,чэстэʔԓном,сущ
очки,очкаʔн,сущ
ошаманивать п1; чамла-,кзтаԓ-,
ошейник,квәлвўм,сущ
ошибаться интынныв- неп; неп; тсхил-,интәнмэʔԓ-,
ошибка,тсхэʔлэс,сущ
ощипывать,әнмит-,п1
ощипывать перья,әнми-,п1
ощущать тошноту,иʔлакэт-,неп
падать ич- неп; кзи- неп; неп;,тсӑл-,
падать в обморок,тпласхэн-,неп
падушка,кәњч,сущ
падшая женщина,чʼафкрам,сущ
пазуха п2; сущ;,паӈза-; паӈзаӈ; паӈзат-,п2
подпоясанной кухлянкой,паӈзаӈ,сущ
пакет,коԓтон,сущ
пакостить,ањчхчаӈ-,неп
Палана,Кԓхит,собств
палец,луфԓич,сущ
палец большой с.;,асолӈәӈ,сущ
палец указательный,ањԓоʔԓкнэн,сущ
палка сущ; сущ;,кэӈч; ускʼәлӈин; уʔ,
сущ;,әмзатынәӈ,сущ
палка для привязывания собак,ӽэзум,сущ
"палка, чтобы рыбу погонять",әмзатынәӈ,сущ
палочки,умуԓкʼэʔн,сущ
пальто,паԓтоʔ,сущ
пальчик у маленького ребенка,лэвэчӽ,сущ
память,тхэԓном,сущ
пар,˚тʼитʼим,сущ
сердцевины кипрея,лупсисӽ,сущ
парадная комната,ӽаӄа,сущ
паразит,љапхачʼэраӈ,сущ
паразиты,катхзэʔн,сущ
парень,ӽоља,сущ
парта,партаʔ,сущ
пастбище сущ; ноном,асхәм,
пасти,анфчоʔԓ-,неп
пасти стадо п1;,хчоԓ-; хчоԓ-,
пастух,анхчоʔԓкаԓӽ,сущ
паук сущ;,˚сикʼкʼай; сикʼукʼ,сущ
пах,сачʼэӈ,сущ
пахать,пахаʔԓ-,неп
пахнуть неп;,сӄ-; сӄка-,неп
пачкать,әлкʼсэзо-,п1
пачкаться,әлкʼсэзо-,неп
пеленать,чʼумкʼэ-,п1
пепел,˚пиӈпиӈ,сущ
пепельница,пэӈпэӈйоԓхэн,сущ
пепельный цвет,пиӈлаӽ,прил
первосвященик,хэпохпх,сущ
первый прил;,пэрвой; пэрвой,"прил, прил"
первый от центра запор,ткупэнпав,сущ
из-под снега,луӄэн,сущ
перебирать,инчилэʔԓ-,неп
переваливать через гору,ӽаʔмнэ-,неп
переваливать через хребет,хәʔмнэ-,неп
Перевальный хребет,Переваљной; ӈэйӈэ,собств
переварить,этʼосчо-,неп
место,әнԓэмза-,п1
перевозить,әнтхла-,п2
перевозить через реку,тӄәз-,п1
переворачивать п1; п1;,әнпиӈэʔԓ-; әнпнэʔԓ-; әнсчʼаʔӈа-,п1
переворачиваться,схозӈа-,неп
переглядываться,ԓчкуст-,п1
перегонять,әнпэскоз-,п1
перед,кԓфәњчк,нареч
передвигать,әнсчʼэлла-,п1
передний,кԓфәњчʔан,прил
летней обуви,фээчӽ,сущ
переправлять,тӄәз-,п1
переправляться неп;,әнта-; әнтат-; сизӈитʼԓ,"неп, сущ"
передразнивать п1;,ӄазала-; ӄазалаʔԓ-,неп
переезжать,әнта-,неп
переезжать на другое место,йалвэт-,неп
переезжать через горы,хәʔмнэ-,неп
переживать неп; неп; чалхта-,крурэв-; нытасхэн-,
перекат сущ;,кʼизвизвэч; эпэврәӈ,сущ
перекликаться,лукэл-,неп
перекосить,тӄэнс-,п1
перекрывать путь,тхвәлэт-,неп
перекусывать все предметы,пәләт-,п2
перелезать,тәʔмнэ-,п1
перелезать через забор,ӽаʔмнэ-,неп
перелетать,лусиӈит-,неп
перелетать с места на место,сиӈэт-,неп
переметка,корэмт,сущ
перенога,пәнкʼэч,сущ
свежим следам,нэспәл,сущ
переносить п1;,тымпԓ-; әнтхла-,п2
перепись,кэʔњԓэтном,сущ
переправа,әнтаном,сущ
перепутать,әнӄʼлт-,п1
перепутаться,ӄʼлэ-,неп
перерыв,ӄэнʔэсәм,сущ
перерывать,нэкʼа-,п1
переселять п1;,әнсиалвэт-; әнсиалвэтэт-,п1
переставать,ԓхилӈи-,неп
пересушить,әнкʼэхса-,п1
пересчитывать,ԓнысхины-,п1
пересыхать,кʼисхԓэт-,неп
перетаскивать быстро,инсимпԓ-,п1
перечитывать,ԓнысхины-,п1
перешагивать п1;,чмаӄа-; чмаӄат-,п1
перешагивать заставлять,әнфаӄт-,п1
перешаривать,нэкʼа-,п1
перо,чэԓхчэԓх,сущ
перья ощипывать,әнми-,п1
перьями обрастать,этԓхтэ-,неп
песец,сипуӄ,сущ
песни ительменские,ходилаʔн,сущ
песня,чаӄаʔԓэс,сущ
песня колыбельная,ӄэрвэљу,сущ
пест спэ сущ;,тӄныӈ,сущ
пёстрая нерпа,кэлылан,сущ
пестрая птичка,атамсӄәл,сущ
пёстрый,кэлы,прил
пестряк,мәлʔарак,сущ
песчаный,тосхʔан,прил
петля сущ; энат,лэӄәл,
обуви -,аљэʔн; лэкʼил,сущ
петля у вида легкой обуви,тнакэл,сущ
петух,пэтух,сущ
петь неп; неп;,ӈрэп-; чаӄаʔԓ-; эʔӈуӈи-,неп
петь по шамански,эӈэӈсэ-,неп
петь прощальную песню,ӄолэнто-,неп
пеуль,пэвлумч,сущ
печальный,макоʔлаӽ,прил
печь ойэлатном сущ; сущ; сущ; сущ;,опэчик; пэчи; пэчиʔ; пэчэʔԓ-,неп
пешком нареч;,ԓалаӈ; ԓэйво,нареч
пешком идти,ԓэйво-,неп
пила,пилэʔ,сущ
пилить неп;,пилыʔԓ-; пилэзаʔԓ-,неп
пинаться,ӄэпԓкʼоԓ-,неп
пировать неп;,чʼахԓ-; чʼэԓэлат-,неп
писать п1; неп;,кэлы-; кэлыʔԓ-,
пищать,чʼмамԓ-,неп
пище улечься,этʼосчо-,неп
пищей давиться,итʼэмԓ-,неп
плавать вит- неп; пват- неп; неп; неп; фи-,пватэт-; тӑлфс-,
неп;,фэԓат-,неп
дистрибутивно,пватэт-,неп
плавник сущ;,ӈойӈән; таʔӈорэчӽ,
сущ;,тхлочӽ,сущ
плавник рыбий,тэвәч,сущ
плавник рыбы сущ;,пипэʔлэч; тәнзасӽ,сущ
плавничок,тэвэчӽ,сущ
плакать ритвириву- неп;,сэӈԓзо-,
неп; файха- неп; неп;,чʼмамԓ-; чʼӈэл-,неп
плакать навзрыд,сэӈԓ-,неп
плакса,чʼӈэԓу,сущ
пламя раздувать п1;,әнлуʔԓ-; әнлуʔԓэт-,п1
планка для петель на рубашке,кэʔнс-; часӽ,"неп, сущ"
письменность,кэлэном,сущ
письменный,кэлэʔԓкнэн,прил
письмо сущ;,кэлэкэл; кэлэном,сущ
вил- п1; ил- с.; ил- с.;,чаӄаʔԓ-,неп
пить до конца,вилэт-,неп
пить долго,ӈэпԓ-,неп
пить много,вилэт-,неп
пить хотеть,икʼсхулэʔԓ-,неп
пить чай неп;,имԓо-; чайʔа-,неп
пить часто,вилэт-,неп
пиши,кэʔњԓ-,неп
пища сущ; ноном,новаԓэс,
пластать ахт- п1; хт- п1; п1;,әлфԓ-; әхт-; әхт-,"п1, п1"
платить п1;,вилэт-; ињԓ-,п1
плаха,отʼс,сущ
плевательница сущ;,асасйэԓхэн; аскʼрэ,сущ
плевать,иԓхэњчкэʔԓэт-,неп
плеваться неп;,иԓхэњчкэʔԓ-; иԓхэњчкэʔԓэт-,неп
плен,тскавэл-,неп
на окна,кʼазвизвач,сущ
пленник,ктскавэлкнан,
пленный,ктскавэлкнан,
плести п1; п1;,омтэ-; ткʼло-; ткʼлот-,п1
плести что-либо,тӽз-,п1
плетеная связка мелкой рыбы,интӽзэсӽ,сущ
плетеная травяная корзина,чʼипсӄэл,сущ
плетень рыбного запора,тоʔсэс,сущ
плечо,әнтнэӈ,сущ
плешь,кʼэмсх,сущ
плоды и ягоды,мэԓӄэв,сущ
плоский прил;,аӈԓлаӽ; апԓкʼалаӽ,
прил;,ољвэљаӽ,прил
плоский берег сущ;,иʔњԓәм; иʔњԓәм,"сущ, сущ"
плоский камень,зэнзол,сущ
плот,тымитэм,сущ
плоть сущ;,килвиԓӽ; тӽалтӽал,сущ
плохо нареч; нареч;,ӄивэ; ӽэӄэ; эчкʼэӄ,
плохое сделать,аӈӄан; әнт-,п1
плохой прил;,ӄивэлаӽ; ӽэӄэлаӽ,
прил; нареч;,ӽэӄэ; эчкʼэлаӽ,прил
"плыть вверх, против течения",ӑлфс-,неп
плясать,истэл-,неп
по воде хлопать,ипәԓӄэ-,неп
по делу говорить,әнʔи-,п1
по имени называть,ӽэлаʔԓ-,п1
по реке бродить,тывљат-,неп
по своим местам раскладывать,әззут-,п1
победа,анәњчхчаʔԓном,сущ
победитель,анәњчхчаʔԓкиԓӽ,сущ
побеждать неп; п1; п1;,анәњчхчаʔԓ-; әњчхча-; әњчхчазо-; әњчхчат-,п1
побелкой заниматься,бэљиʔԓ-,неп
побережье,эрвэн,сущ
побивать неп;,нэтмәњԓ-; нэтмәњԓ-,"п1, п1"
поблескивать,атхкʼза-,неп
побоев следы,тхԓном,сущ
действию,ӄлэ,межд
повадиться приходить,кʼоԓәт-,неп
повадки узнавать тыл-,ӽаӄ,
повар,ккоказоʔан,сущ
по-вашему,тәзанԓханэӈ,нареч
повернуть,әнсхозӈата-,п1
повесить,әнтʼэнӈа-,п1
повеситься,кʼуп-,неп
поворачивать п1; п1;,әнсхозӈа-; әнсхозӈазо-; әнсхозӈат-,п1
поворачиваться неп; неп;,схозӈа-; схозӈазо-; схозӈат-,неп
обувь,фисфэʔн,сущ
повседневные летние обуви,аљэʔн,сущ
погоды),алэʔн,сущ
повторять п1; неп; повторас,ањчпакат-; ӄазалаʔԓ-,
повторять сказанное,ӄазала-,п1
погасить свет,әнтхун-,п1
погибать,мэчʼ-,неп
погонялка для рыбы,имзатэʔнәӈ,сущ
погружать,инсимпԓ-,неп
погружаться,чкԓ-,неп
погубить п1;,льэтʼэл-; мэтʼэлэ-,п1
под нареч; нареч; нареч;,тнўмкэ; чәск; чәскэ,нареч
"подальше от берега, от воды",нэномк,нареч
подарок сущ;,гостинцаʔ; ињчзум,сущ
подбивка на лыже под ступней,анстʼволноӈ,сущ
подбирать п1;,әнсху-; энвэл-,неп
подбородок сущ;,кәмкʼч; кʼимкч,сущ
подвернуть,лопләмзо-,п1
подвертывать,лопләмзотә-,п1
подвесная детская люлька,зипкэ,сущ
"подвесная колыбель, зыбка",зипкэʔ,сущ
подвигать п1;,тныԓэт-; әнсчʼэлла-,п1
подгорать,кэӈрэт-,неп
подготовлять,ԓинӈазиԓ-,п1
поддакивать,чʼсхән-,неп
поддерживать,әнлола-,п1
поджаривать,зарэ-,неп
поджарить,зарэʔԓ-,неп
поджигать,нэтхаʔԓ-,неп
поди,тʼаԓи,межд
подкармливать,ԓиннут-,п1
подкладка у одежды,пкатнәӈ,сущ
подкладывать детям подстилку,пэтэʔԓ-,неп
подкладывать подстилку,пэтэʔԓ-,п1
подклеивать неп;,нэтмәњԓ-; нэтмәњԓ-,"п1, п1"
подкожная шкурка,эԓф,сущ
подлащиваться,авазэʔԓ-,неп
подлесок березовый,ичʼәмч,сущ
подлый,ӄивэлаӽ,прил
подманить собак,алволтэ-,п1
подмастерье,кʼэвәрх,сущ
подмерзать,катԓ-,неп
подмышка,чʼэзаӄ,сущ
поднимать п1;,әнсху-; әнсхут-,п1
поднимать наверх,тэфс-,п1
подниматься неп; неп;,сэзза-; фнэ-,
подойти,тʼаԓи,межд
подол одежды,чоԓхән,сущ
подошва,эчэӈәлӈән,сущ
подошва горы,чоԓхән,сущ
подошва ноги,манзәӈ,сущ
подошва обуви сущ;,ачаӈәм; эчэӈэлӈәм,сущ
подошвенный шов обуви,тныԓноӈ,сущ
подошвы подшивать п1;,эчэʔԓ-; эчэʔԓэт-,п1
подпирать п1;,чэпә-; чэпэтә-,п1
подпирать дверь,ускʼӈ-,п1
подпорка сущ;,ускʼәлӈин; уткнэн,
сущ;,чэпнәӈ,сущ
подпрыгивать неп;,сткʼԓат-; стʼкԓатэ-,неп
подрастать,эсӽтэ-,неп
по-другому нареч;,ԓваԓкʼэԓ; ԓваԓ,нареч
подружка,клэлх,сущ
подскользнуться,иԓӽапʼэс-,неп
подслушивать,аләскʼваʔԓ-,неп
подслушивать постоянно,аләскʼваʔԓат-,неп
подсматривать неп;,лахԓэт-,
подснежник,луӄэн,сущ
подставить,пкԓала-,п1
подставка,пкԓном,сущ
подножку,ԓинкуп-,п1
подставлять опору,чэпә-,п1
подставлять руку,әнамчэтә-,п1
подстерегать п1;,фчоʔԓ-; эчʼэви-,
неп;,эчʼэви-,п1
подстилать,стыʔԓ-,п1
подстилка,стэʔнŏӈ,сущ
подстилку детям подкладывать,пэтэʔԓ-,неп
подстилку подкладывать,пэтэʔԓ-,п1
подтирка,ӄайпсаноӈ,сущ
подтягивать неп;,тхнэтзо-; тхнэтзо-,"п1, п1"
подумать,˚кʼэнэзи-,неп
по-дурному А; нареч;,аӈӄансӽ-; аӈӄансӽӄ; аӈӄансӽлаӽ,прил
подушка (деталь нарты),анзәлном,сущ
тмалса- неп;,әнкԓ-,неп
подшивать подошвы п1;,эчэʔԓ-; эчэʔԓэт-,п1
подыматься наверх,эфсэт-,неп
поесть новала- неп; новата- неп;,тӽӑл-,п1
поесть чуть чуть,ансӽчка-,неп
пожалеть залка,иԓ-,п1
пожарище сущ;,кʼвакʼвум,
пожилой,дьэдьуӈслаӽ,прил
пожилой человек,мэтхлаӽ,сущ
позавчера,ӄоланк,нареч
позапрошлый год,тʼаԓананк,
нареч;,хиʔихлту,нареч
позвать п1;,очʼ-; очʼата-,п1
позвонок,кʼавапкʼол,сущ
позвоночник,кʼавач,сущ
поздравлять,поздравԓа-,п1
позывы к тошноте,иʔлакэт-,неп
поиграть,маʔԓ-,неп
поить,ԓинвилы-,п1
по-ихнему,тхиинԓханэӈ,нареч
пойти выбрать кого-либо,чэлата-,п2
подушка сущ;,снәӈ; әнснаӈ,сущ
пойти выстрелить,ԓотата-,неп
пойти достать что-либо,әлʔата-,п2
пойти за дровами,ӈэлата-,неп
пойти занести,тэвата-,п2
пойти купить,эњԓата-,неп
пойти лечь соллата- неп;,эԓчата-,неп
пойти мочиться,тӽэзата-,неп
пойти надеть что-либо,тхԓата-,п1
пойти налить,лэнсата-,п1
пойти отрезать,әмпӽата-,п1
пойти позвать,очʼата-,п1
пойти покормить,ԓэнновата-,п1
пойти помочь,әнкʼзовата-,п1
пойти попросить,каӈԓата-,неп
пойти посмотреть,ԓчковата-,п1
пойти постоять,тӽзовата-,неп
пойти потрогать,әнчʼовата-,п1
пойти принести,тʼфԓата-,п2
пойти расспросить,ԓэњԓлатазо-,п1
покойник,кʼэззаттʼклач,сущ
покормить,ԓэнновала-,п1
покос сущ;,косэʔԓном; Пхаљаʔњч,
собств с.;,Створаʔн,собств
покос на левом берегу,Пхаљаʔњч,собств
покос на левом берегу Йикив,Коњэʔн,собств
берегу Йикив,Ручкэ,собств
покоситься неп;,сӄэнс-; счʼаʔӈа-,неп
покоситься слегка,счʼаʔӈала-,неп
покрывать крышу,тымэ-,п1
покрываться грязью,кэԓчʼалты-,неп
покрываться звездами,ӈэзэтэ-,неп
покрываться лишаем,әмкʼәсхты-,неп
покрываться льдом,кәтволтэ-,неп
покрываться облаками,ӈиззалты-,неп
покрыться копотью,ипэрвэ-,неп
покрышка,энсчинэӈ,сущ
покупатель сущ;,иԓтәлӽ; эњԓкиԓӽ,
ягоды,ахԓата-,п1
покупать неп; неп;,инсхиʔԓ-; ињԓ-,
пойти спросить,ԓэњԓлата-,п1
пока,әӈки,межд
показывать п1; п1; п1;,ԓнэчкоӈи-; ԓэњԓо-; сӈэчкоӈ-; әнксхлы-,п1
показывать что-либо,ањԓо-,п1
показываться неп;,ксхлэ-; әлхп-,
неп;,әлхпит-,неп
покачиваться,ӽэлэ-,неп
покаяние,тэӈсэном,сущ
покидать иномс- неп; умз- неп;,ињԓит-; энԓала-,п2
"полвинка река Половинан с., сед.",кивэчӽ,собств
полдник,павузнаʔ,сущ
полезный прил;,ӄэчисиӈлаӽ; пољэзной,прил
полено сущ;,ускʼәлӈин; уʔ,сущ
полететь,ӽотса-,неп
ползать,ԓалхтэ-,неп
полный,ктхнуʔин;; ктырвиткнэн,прил
половина,колӈән,
половина рыбьей тушки,аʔноӈ,сущ
половой орган,чʼафк,сущ
половой член,пилкʼэ,сущ
половой член мужской,ӄәлӄ,сущ
положить,әзу-,п1
положить сущ; п1;,әззотном; әззу-; әзус-,п1
положить стельки в обувь,чʼонэʔԓ-,неп
полоз нарты,схләӈ,сущ
полоса берега,эрвэн,сущ
кухлянке,тэмптэмп,сущ
полоскать,ипәԓӄэ-,п1
полотенце сущ;,ањԓханом; тʼԓаноӈ,сущ
полотно,чинәп,сущ
получать,ӄэзват-,п1
полынья,фатʼсх,сущ
поляна сущ; усх,нутэн,
помеха,инмэсэӈ,сущ
помешивать,әнтэвлы-,п1
помещение для скота,стайаʔ,сущ
помещение под крышей,йайалӄ,сущ
помнить п1; п2;,ԓныта-; тхиԓ-; ӽаӄ; иԓ-,п1
помогать встать,әнткэʔԓ-,п1
помогать немного,әнкʼзовала-,п1
помолчать,эԓчала-,неп
помочь,әнкʼзовата-,п1
помощник,инәнкʼзуʔԓкиԓӽ;; кʼэвәрх,сущ
помощь оказывать,нәкʼзуʔԓ-,неп
поневоле,кәʔмхаԓ,союз
понемногу,уључӄ,нареч
понижать,нэзоӄʼат-,п1
понижаться,изусэ-,неп
понимать илфс- п1; тыл-,хиӄ,
по-новому,нэʔнанаӈсӄ,нареч
"понять, что за человек",аӈазэ-,п2
попадать в трудное положение,чскавэл-,неп
попадать в цель постоянно,устсхэн-,п1
попадаться ка- неп;,каʔ-,неп
попарить,нэпайса-,п1
попасть в плен,тскавэл-,неп
поплавок,пәхпәх,сущ
положение,чэӄсхэ-,неп
попозже,ԓаӈ,нареч
поправиться,хсозалэ-,неп
поправлять,ԓинмиты-,п1
поправлять здоровье,әнӄэчэʔԓ-,п1
поправляться,ӄэчиси-,неп
попросить п1;,нэԓ-; әнст-,п1
попросить пойти,каӈԓата-,неп
попрошайка,нэстрам,сущ
попрошайничать неп;,нәнстәʔԓ-,
помогать неп; неп; неп;,инәнкʼзуʔԓ-; нәкʼзуʔԓ-; әнкʼзу-; нэст-; нэстзо-,"п1, неп"
по-пустому,чʼэхчʼэԓ,нареч
пора,хаԓч,нареч
поработать немного,вэтатала-,неп
поравить,әнхиʔӈи-,п1
порвать,счʼэз-,п1
порваться,счʼэс-,неп
порез,пʼизном,сущ
порезать,әмпӽэсхэн-,п1
порезаться,пʼис-,неп
порознь нареч;,ԓман; ԓмаӈ,нареч
пороть п1;,тпәлзо-; тпәлл-,п1
пороть одежду,итԓӄр-,п1
пороша сущ;,нэспәл; пәнкʼэч,сущ
порошить,нэспәл-,неп
порошок,˚пиӈпиӈ,сущ
портить неп;,ԓисхэпи-; нэтфкэʔԓ-,
неп;,әнтфкэ-,п1
послушай межд;,кԓчки; әљчкэ,межд
послушание,элфсэнŏм,сущ
послушный,кʼилфсʔин,прил
посмеиваться,ԓӈэзаԓат-,неп
посмотреть вокруг,лоӈаʔԓ-,неп
посмотреь,әԓчку-,неп
посмотри межд;,кԓчки; әљчкэ,межд
посолкой заниматься,сољаʔԓ-,неп
посреди,кӑннэнк,нареч
поставить,әнтӽзуʔԓ-,п1
по-старому,итʼэнанԓханŏӈ,нареч
постель сущ; сущ;,ањтс; варнаʔн; стэʔнŏӈ,сущ
постель из ветвей кедрача,тарваначӽ,сущ
постель стелить неп;,ањтс-; ањтс-,
портиться неп; неп;,суӄ-; тфкэ-,
п1;,стыʔԓ-; тʼԓа-,"п1, неп"
портиться от поедания червем,кʼәмчэлты-,неп
портрет,портрэт,сущ
портсигар,кансайоԓхэн,сущ
портянка,ийаллӈән,сущ
по-русски,ттэʔанԓханŏӈ,
поручать,ԓэнӈаԓоӈэ-,п1
поселение,тычсӽ,сущ
посёлок заброшенный,атноӄол,сущ
поскальзывать,иԓӽапсхэн-,неп
поскользнуться,иԓӽапʼэт-,неп
поскольку предл,пәл,
послед,пʼасх,сущ
последний,посљэтњой,прил
послезавтра,ӄоланк,нареч
поститься неп,постаʔԓкас,инф
посторонний прил;,пԓӽʔин; экʼнын,прил
постоянно неп;,аӈйазо-; вэчно,
нареч;,ӄуʔнэӈэʔн,нареч
постоянно дурить,аӈӄансхэн-,неп
постоянно закрывать,сопсхэн-,п1
постоянно караулить,инйусхэн-,п1
постоянно смотреться в зеркало,зэрклачотэ-,неп
постоянно успокаивать,ныԓчэтэʔԓ-,неп
постоянный,ӄуʔнэӈэлаӽ,прил
постоять,тӽзовата-,неп
посуда,соранэсӽӄ,сущ
варки,кукэйэԓхэн,сущ
посуда крупная,ӄамаӈа,сущ
посуда под жир,ӽамԓӽйоԓхэн,сущ
посудина,соранәӈ,сущ
посылать п1; п1; п1;,әнклы-; әнӄлы-; әнӄлызо-; әнӄлыт-,п1
"посылать кого-либо, что-либо",анамԓ-,п1
посылка сущ;,анамԓэс; ԓпэлэс,сущ
посыпать,нэпэӈ-,п1
пот,ԓхэс,сущ
по-теперешнему,нэʔнанаӈсӄ,нареч
потереть ногу,әнсхул-,п1
потерять,мэчʼ-,п1
потерять запах,сӄасо-,неп
потерять зубы неп;,каԓалхпэ-; кихплэʔԓ-,неп
потеть,ԓхас-,неп
потихоньку нареч;,инслыӄ; исэӈӄ,
нареч;,хиʔнэрэ,нареч
потом инсхик с.;,ԓам;; ԓаӈ,
потому что,йаәм,союз
потратить(ся),инфԓэʔнэ-,неп
потрогать,әнчʼовата-,п1
потрошить,әмпʼӄʼа-,п1
потухать неп;,оӈӄ-; оӈӄсхэн-,неп
потушить,ноʔӈӄаʔԓ-,п1
потяг упряжи для собак,‘срэднаʔ,сущ
потягиваться,схоӈ-,неп
похвалить,аӈйа-,п1
походить,чәл-,неп
похожим,алвалэ-,неп
похожим быть на кого-то,алвалэ-,неп
похоть,чʼафкраном,сущ
почва,ктхәм,сущ
почему мест;,ӑӈӄанкит; ԓаваԓ,нареч
почернеть,ктвэ-,неп
починенный,хиʔӈиӈлаӽ,прил
починить п1;,ԓинмиты-; әнхиʔӈи-,п1
почки,кљимэлӈән,сущ
почтовый,почтаʔан,прил
по-шамански петь,эӈэӈсэ-,неп
поэтому,тыʔнвэкит;; хэйнэԓ;; хэныԓ,союз
появляться неп; сфис- неп;,ксхлэ-; әлхп-,неп
появляться неожиданно неп,сфэскас,инф
поясная часть штанов,кәмманомт,сущ
поясница,сэтзаном,сущ
поясок,пойаскалӈән,сущ
правда,лыԓи,межд
праведник,клыԓʔин,сущ
праведный,клыԓʔин,прил
правильно,чӈиԓ,нареч
правый правой прил;,хтоӈан,прил
праздник,чʼахԓэс,сущ
равдуги,алачикаʔн,сущ
праздничный,чʼаӽлэзʔан,прил
праздновать,чʼахԓ-,неп
превращать п1;,тʼилл-; тʼилләт-,п1
превращаться лэ- неп;,лэтэт-,неп
преграждать,тхвәлэт-,неп
предавать,әнԓваԓтэӈ-,п1
предатель,ԓваԓтэʔԓкаԓӽ,
предназначить ск-,кԓфәњчкэ,
председатель,прэдсэдатељ,сущ
предсказание,кԓфәњчк; ампэланом,сущ
предсказывать,кԓфәњчкэ; ԓо-,п1
предупреждать,ампэлаʔԓ-,неп
прежде союз;,итʼэ; ӄаʔт; итʼэ,"нареч, нареч"
прежний,итʼэнан,прил
презирать,әнӽзэвэп-,п1
презренный,кәнӽзэвэпэʔин,инф
прекрасно,пәлӄљви,нареч
прекращать п1;,пињԓф-; әнԓӽилӈи-,п1
прекращать(ся) неп;,пињԓф-; пињԓфаʔԓ-,неп
прекращаться,пиӈԓфэт-,неп
премия,прэмия,сущ
престол,ԓаном,сущ
пресыщаться,әмчʼкʼэлы-,неп
прибавлять,прибавэʔԓ-,неп
прибирать,нәмтʼл-,п1
прибывать,кʼоԓ-,неп
привал сущ;,онмэстном,
привал делать,әлӽт-,неп
приведеничать,инчʼэлэ-,неп
привет,тхуʔэн,сущ
приветствовать,амтоʔаԓ-,п2
привлекать к себе внимание ит-,аӈӄан,
приводить п1;,ԓинкʼоԓ-; әнԓалэӈ-,п1
привозить п1;,тымпԓ-; әлʔэ-,п2
привыкать неп;,˚кʼэ-; кʼэʔ-,неп
привязвать бат лодку,тупэз-,п1
привязывать пиз- п1;,пәз-,п1
привязывать бат,тӽтупэс-,неп
приглашать п1;,очʼ-; әӈӄзэ-,неп
приготовлять п1;,ԓинӈазиԓ-,
придавить,әнвиԓты-,п1
придавливать,әнвиԓтыт-,п1
придумывать п1;,˚кʼэнэзи-; әњчикʼирви-,п1
приезжать неп;,кʼоԓ-; эвэн-,неп
приемный ребенок,тӽаʔԓэс,сущ
прижимать,әнвиԓтыт-,п1
"прижимать долго, сильно",әмптӄэсхэн-,п1
прижимистый,фиӈилаӽ,прил
признавать мэл,иԓ-,п1
признавать кого-либо отцом,исхэки; иԓ-,п1
признавать отцом,эсхэԓзо-,неп
приказ,этэном,сущ
прикасаться неп;,сӈэза-,
приклеивать п1;,нэтмәњԓ-; әнтмиԓ-,п1
прилежный прил;,интӄрэлкэн; квэтатʼан,прил
прилив,сэззам,сущ
прилипать,тмәл-,неп
приманка,аʔнквас,сущ
приманка для рыбы,инәӈквэʔноӈ,сущ
приманку рассыпать,ӈичхэӈ-,п1
"принадлежащий ему, ей",әннан,мест
принести,тʼфԓата-,п2
принимать,ӄэзэт-,п2
