russian,itelmen,part of speech
ничком,pnэŋ,нареч
нищий,kkaŋɬʔan,инф
но,kəʔmxaɬ,союз
новогодний,nowogodɲoj,прил
новый,ifalaχ прил; nowoj прил,multiple translations
нога,qtχaŋ сущ; tχaŋ сущ с.,multiple translations
ноготок,k'эk'wэčχ,сущ
ноготь,k'ufk'uf,сущ
ногу потереть,ənsxul-,п1
нож,faɬč,сущ
нож для кипрея,inxp,сущ
нож перочинный,faɬačχ,сущ
ножа рукоятка,kujnəŋ,сущ
"ножка, ноженька",qэttačχ,сущ
ножницы,nozniцaʔn,сущ
ножны,fansx,сущ
ножом,faɲɬ,сущ
ножчек,faɬačχ,сущ
ноздря,qŋasəŋ,сущ
"ноль ноль,",nul',числ
"ноль, нуль ноль,",nul',числ
номер,nomэr,сущ
нора,asэra,сущ
нос,qaqəŋ сущ; qэqэŋ сущ,multiple translations
нос крючком у рыбы,k'onok'on,сущ
"нос, корма бата",tqŋač,сущ
носить,nəntxlaʔɬ- неп; szu- п2; sxzu- п2; tzili- п1; txɬ- п2 с.; timpɬ- п1; timpɬэt- п1; əntxla- п2; əntxlat- п2,multiple translations
носки,paŋjaʔn,сущ
носок у меховых чулок,k'aɲč,сущ
ночевать,ɬxi- неп; ɬxit- неп,multiple translations
ночевать вне дома,ɬxanost-,неп
ночевать постоянно,ɬxisxin-,неп
ночная совка,č'эxč,сущ
ночь,kənk sed.,сущ
ночью,kɬfiŋlэ,нареч
ноябрь,noябr,сущ
нравиться,luʔmi-,п1
нравственный долг,эlfsэnŏm,сущ
ну,inki межд; qlэ межд; nu межд; xatta межд; xэtus межд,multiple translations
ну да,klэxwэns,нареч
ну и!,imst,межд
нуждаться,ksxi-,неп
нужно,nada,нареч
нужный,nuжnoj,прил
ну-ка,xaɬč,нареч
нынче,nэʔn,нареч
нырять,čkɬ-,неп
ныть,istwэ- неп; č'winiʔɬ- неп,multiple translations
нюхательный табак,proska,сущ
нюхать,nisk'i- неп; nisk'i- п2; nisk'iʔɬ- неп; nisk'эʔɬ- неп,multiple translations
няньчить,kust- п1; ɲaɲaʔɬ- п1,multiple translations
няньчить детей,kmэŋэt- неп; kust- неп,multiple translations
няня,ɲaɲa,сущ
оба,kmaŋan,мест
оббить посуду от эмали,zəmč'sxэnəc,инф
обвал,t'lэnom,сущ
обваливаться,t'lэ- неп; t'lэŋэ- неп; t'lэtэ- неп,multiple translations
обвалившееся место,t'lэnom,сущ
обваривать,ənsɬ- п1; ənsɬэt- п1,multiple translations
обварить,is-,п1
обвариться,is-,неп
обветшать,utxsi-,неп
обвинять анзан,iɬ- п1; anzaʔɬ- неп,multiple translations
обвинять постоянно,anzaʔɬst-,неп
раз,omtat-,п1
обгонять,pэskoz- п1; ənpэskoz- п1,multiple translations
обдать водой,ača-,п1
обдирать шкуру,əlfɬ-,п1
обдувать,čxl-,п1
обедать,oбэdaʔɬ-,неп
обессиливать,wat-,неп
обет,azlaχ aɲɬos,сущ
обещание,aɲɬos,сущ
обещать,aɲɬot- п1; aɲɬoʔɬ- неп,multiple translations
обещать многократно,aɲɬot-,п1
обещать что-либо,aɲɬo-,п1
обжигать,ənk'wa-,п1
обжигать что-то,ənq'wala-,п1
обжора,ksxlət'in сущ; nanqalan сущ; pilwэtilʔan сущ; piɬfu сущ,multiple translations
обзывать,ɬiɲɬэruŋ- п1; əllat- п1,multiple translations
обижать,ŋitɬ- п1; χэqэwjэp- п1; ənqaʔm- п1,multiple translations
обижаться,qaʔm-,неп
обилие,amэlwэlwэn,сущ
обильно,iwniɬ нареч; nэksama нареч; əmkэm нареч,multiple translations
облаками заволакиваться,jat-,неп
облаками покрываться,ŋizzalti-,неп
облако,jajaŋ сущ; ŋizzal сущ,multiple translations
облегчения возглас,эfufэ,межд
облегчить,nəmsxuʔɬ-,п1
обледенеть,qtwal-,неп
"обледенеть, покрыться льдом",kaɬčfsatэ-,неп
облезать,im-,неп
облезать коже,imχč'əs-,неп
обливать,linsit-,п1
обливаться,lins-,неп
многократно,lэnszo-,неп
обливаться слезами,sэŋɬzo-,неп
облизывать,taʔmza- п1; taʔmzat- п1; tom- п1; tomэt- п1; č'mil- п1,multiple translations
облить,ača-,п1
обложка,oбloжka,сущ
облокачиваться,aɬa- неп; zəl- неп,multiple translations
облокачиваться многократно,aɬat-,неп
обманом заниматься,aɲɬэnmajaŋaʔɬ-,неп
обманывать,intimni- неп с.; intimni- п1 с.; intənmuwэʔɬ- неп; ɬinmajaŋ- п1; maja- неп; tэmjuŋɬxэt- неп,multiple translations
многократно,ɬinmajaŋэt-,п1
обманываться,intənmэʔɬ-,неп
обмереть,tpla-,неп
обметочный шов,čiъnn’эk'l,сущ
обморок,tplasxэn-,неп
обнадеживать,ənməlwэŋ-,п1
Красной,afčaχ,собств
зрительно,tэpəlaχ,прил
обнаруживать,ənlat'-,п1
обнаруживаться,tэpəl lэ-,неп
обнимать,tawol- п2; tawolat- п2,multiple translations
сильно,əmptqэsxэn-,п1
обниматься,ansawaʔɬ- неп; tawolaʔɬ- неп,multiple translations
обносить,inkil-,п1
обнюхивать,nisk'i- п2; ənsk'i- п1; ənsk'i- п2; ənsk'izo- п1; ənsk'izo- п2,multiple translations
обод,ʷkmэwič,сущ
ободок,inmэŋ,сущ
обожженная корка,k'wasχq,сущ
обозначает возвратное действие,uwik,сущ
оборачиваться,sxozŋa- неп; sxozŋazo- неп; sxozŋat- неп,multiple translations
пищу стебель кипрея,alxp,сущ
обрадоваться,wənkiwi- неп; riwat- неп,multiple translations
волосами,эtɬxtэ-,неп
обрасти бородой,luʔwilti-,неп
обратно,ilwiziɬ,нареч
обратное действие,uwik,сущ
обращать внимание,čalxta-,п1
обрезать,əmpχata-,п1
обрезать слегка,əmpχala-,п1
обруч,ʷkmэwič,сущ
обрыв,xalf сущ; эʔlэ сущ,multiple translations
обрываться,pxэ-,неп
обрызгивать,ipstu- п1; ipstut- п1,multiple translations
обсидеть,kafkɬ-,неп
обтесывать,ɬk'l- п1; ɬk'lэt- п1,multiple translations
обувать,ənkuma-,п1
обуваться,kumэ-,неп
обуви вид,aɬэʔn,сущ
обувь,komaknэn сущ; sfunsχqэʔn сущ,multiple translations
обувь детская,pэkэʔɲč,сущ
обувь домашняя,sfunk'uzwэʔn,сущ
обувь латать,atɬэmk'at-,п1
обувь летняя промысловая,ikəmplikэʔn,сущ
обувь праздничная;,alačikaʔn,сущ
осенняя,fisfэʔn,сущ
обузить,ənquɲŋala-,п1
обходить,č'эt-,п1
обходить стороной,ksota-,неп
обшивка,nik'ilэʔnəŋ,сущ
обшивка у обуви,akэwaʔnəm сущ с.; akэwəm сущ,multiple translations
одежды,nik'ilэʔnəŋ,сущ
обширный,χopt,прил
общество,oбщestwo,сущ
объединять,ənqoɲэŋэwэ-,п1
объединяться,qunэŋэ-,неп
объем помещаемый в обе горсти,pklэl,сущ
объявлять,ampэla-,п1
объяление,ampэlač,сущ
объяснить,əlʔiɬ-,п1
обыкновенно,ŋonkэ,нареч
обыкновенный,ŋonkэnlaχ,прил
овод,ɬokra,сущ
оглушить,ənparэw-,п1
оглядываться,laxɬэt- неп; ɬčkpэt- неп,multiple translations
огонь,wəmɬx сущ с.; ximɬx сущ,multiple translations
огонь высекать,эʔŋlэt-,неп
огонь раздувать,tlut-,п1
огород,ogorod,сущ
огорчаться,qaʔmst-,неп
огромный,χopt прил; эsqčkin прил,multiple translations
огурец,ogurэц,сущ
одевать,ənkuma-,п1
одеваться,kumэ- неп; qziɬэt- неп,multiple translations
одеваться по-праздничному,kəmŋэ-,неп
одежда,warnaʔn сущ; odэzdaʔn сущ; txɬknэn,multiple translations
одежда женская,ŋawkэr,сущ
одежду пороть,itɬqr-,п1
одеревенеть,oʔtэ-,неп
одеяло,saχsaχ сущ; эnsčinэŋ сущ,multiple translations
одеялом накрывать,эnsča-,п1
одеялом укрываться,эnsčэ- неп; эnsčэt- неп,multiple translations
один,ʷqɲiŋ числ; ɲaačiɬ нареч,multiple translations
запора,ɬoʔnaŋsэz сущ; nэwlaz сущ,multiple translations
одинаковый,odinakowoj,прил
одинарная кухлянка,эʎwəmək,сущ
один-одинёшенек,ʷqniŋačχ,прил
гора,neimtu З.,сущ
одичавшее животное,ŋэjэm,сущ
одна половина штанов,qtxэwzəŋ сущ; paskэzalŋən сущ с.,multiple translations
однажды,kuniɬwin нареч; kunэɬэŋ нареч с.; qun нареч,multiple translations
однако,kəʔmxaɬ,союз
конца ловушки запора,č'ŋzɨpэʔlэnəŋ,сущ
одновременно,qnaŋza,нареч
одр,aɲts,сущ
оживать,izli-,неп
оживлять,ənt'izliʔɬ-,п1
ожигать,ənk'wa-,п1
ожог,k'wak'wum,сущ
озарять,natxsaw-,п1
озеро,ʷkəɬf,сущ
озеро севернее о. Мээнто,Кʎučэkэn,собств
озираться,laxɬэt- неп; ɬčkust- п1,multiple translations
озорничать,ɬapxač'э- неп; ɬiwэklin- неп,multiple translations
ой,iŋiŋi межд; učučux межд,multiple translations
оказывается,mэxnu,нареч
оказывать помощь,inənk'zuʔɬ- неп; nək'zuʔɬ- неп,multiple translations
окаменеть,watэ-,неп
окинуть ее взглядом,loŋaʔɬ-,неп
окликать,ənkэl-,п1
окно,aʔnwsэs сущ; oknom сущ; oknuč сущ,multiple translations
околачиваться без дела,q'lэ-,неп
околдовать,aŋqan ənt-,п1
околдовывать,zэstaʔɬa- п1; kztaɬ- п1,multiple translations
около,olla,предл
оконечность бата,tk'ŋoč,сущ
оконный,oknoʔan,прил
окончить,piɲɬf- ilalɬэl-,п1
окорять,ilalɬэl-,п1
окровавить,ənɬimza-,п1
окружать,twil- п2; txwəlэt- неп; txwəlэtə- п1,multiple translations
октябрь,oktябr,сущ
оленевод,olenewod,сущ
оленей ловить,čaʔwat-,неп
олененок,qэŋučχ сущ; tэqэsχ сущ,multiple translations
олений жир,qэtχ,сущ
олений мох,xatpal,сущ
олень,qos сущ; ɬxэjwak сущ,multiple translations
"олень дикий, самец",χiwŋэlan,сущ
оленьей кости осколок,irwutam,сущ
олень-самец,ʷkič'э,сущ
оленья жила,sitɬ,сущ
оленья нога,sizŋit'ɬ,сущ
оленья шкура,sap,сущ
оленя мясо,iɬχpэtэ,сущ
оленя убить,qorэɬmat-,неп
ольха,kskət,сущ
ольха горная,kskət,сущ
ольха тундровая,kskət,сущ
ольховая кора,ilal,сущ
ольхой красить,kskizla-,п1
ольшаник,kskəzzal,сущ
он,ənna,мест
он сам,fiɲɲatɬ мест; ʷfnэwa мест,multiple translations
"он сам, она сама",wnэ,мест
она,ənna,мест
она в одиночку,tɬwinэtɬ,мест
она сама,fiɲɲatɬ мест; ʷfnэwa мест,multiple translations
они,itχ,мест
они сами,ʷtɬwin,мест
оно,ənna,мест
онуть,čkɬ-,неп
опадать,pэqsэ- неп; pэsčkɬ- неп; tsӑl- неп,multiple translations
опаздывать,opozdaʔɬ-,неп
опана,kɬxmas сущ; qsχarэs сущ,multiple translations
опираться,aɬa- неп; zəl- неп,multiple translations
опираться многократно,aɬat-,неп
оплевывать,эnɬэntɬxoŋ-,п1
опоражнивать,əntni-,п1
опору подставлять,čэpə-,п1
опровергать,χэqэ iɬ-,п1
опрокидывать,ənpiŋэʔɬ- п1; ənpiŋэʔɬэt- п1; ənp'əlk'э- п1; ənsč'aʔŋa- п1,multiple translations
опрокинуться,sč'aʔŋa-,неп
опухать,ənɬ-,неп
опухоль,nuɬэnt сущ; ənɬэnom сущ,multiple translations
опушка,utэjnэŋ,сущ
опушка капюшона кухлянки,irʔirič,сущ
опушка мужского капора,irʔirič сущ; muxta сущ с.,multiple translations
опять,tэwut нареч; tэnaq нареч,multiple translations
орден,orden,сущ
орел,slэč,сущ
орех кедровый,kuɲɬэl,сущ
орехи грызть,kaɬimto- неп; kunэʔɬ- неп,multiple translations
орехи шелушить,koɲɬэɬtwaʔɬ-,неп
орешек кедровый,kuɲɬэl,сущ
оружие,pojtəl,сущ
оружие типа лука с прикладом,los,сущ
оса,t'was,сущ
осел,osəl,сущ
оселок,pnawŏm,сущ
осенний,ktxlэʔin,прил
осеновать,ktxast- неп; ktxlэnɬ- неп,multiple translations
осень проводить,ktxast-,неп
осенью,ktxlэ,нареч
осина,atxkəzəm сущ; lэŋa uʔ сущ,multiple translations
оскорблять,χэqэwjэp-,п1
оскорбляться,qaʔm-,неп
осматривать,ɬčkust- п1; č'эt- п1; əɬčkustэ- п1,multiple translations
осматриваться,ɬčkust-,п1
осмеивать,ɬiŋwэju iɬ-,п1
хиԓивайу,iɬ-,п1
основание дерева,tnakol,сущ
осока,q'эq'um,сущ
корзин,sxəm,сущ
оставаться,kzэɬ- неп; fti- неп,multiple translations
оставить,ənftэʔɬ-,п1
оставлять,inoms- неп; umz- п1; ənkzэɬ- п1,multiple translations
оставлять (кому-л. что-л. из еды),anxča-,п1
оставлять в покое,ənfti- п1; эnftэs инф п1,multiple translations
оставлять следы,ɬkzi-,неп
остальной,inŋukэlaχэʔn,прил
останавливать,ənt'unmiʔɬ-,п1
останавливаться,olmэ- неп; onmalat- неп; umni- неп с.; unmi- неп; unmist- неп; unmit- неп,multiple translations
останавливаться ненадолго,onmala-,неп
остановка,onmэnom сущ; onmэstnom сущ,multiple translations
остаток еды,aʔnxčas,сущ
остол,osxtlэniŋ,сущ
управления нартой,ostxlэləŋ,сущ
остолом тормозить,xaʔrat-,неп
осторожно,tэlwэčq,нареч
остров,ʷɬэmč,сущ
острога,marэk,сущ
острый,wostroj прил; ik'sxulaχ прил; nirwuqэn прил с.,multiple translations
отек,nuɬэnt,сущ
отец,isx,сущ
отказываться,otkazaʔɬ-,неп
откликаться,aɬtsxэn- неп; irwutam сущ qazalaʔɬ- неп,multiple translations
острым тыкать,txɬ-,п1
остужать,ənksiɬ-,п1
остывать,ksэnэ-,неп
осуждать,lasχtэl- п1; xэk'omla- п1; xэk'əmla- п1,multiple translations
осыпь,t'lэnom,сущ
от края отходить,wэn-,неп
отбирать,iʔnuxt- неп; iʔnuxt- п1; эnawna- п1 с.,multiple translations
отбиться,zəmčɬ-,п1
отвергать,χэqэ iɬ- п1; эqэl- п1,multiple translations
отверстие,č'эnom,сущ
отверстие в стене или потолке,truбusin,сущ
отверстие для света,aʔnwsэs,сущ
отверстие для чада,truбusin,сущ
отвести,ənt'ilwiziɬala-,п1
отвечать,ɬo-,п1
отвечать на вопросы,aɲčpat-,неп
отвлекать,ənč'эlazo-,п1
отводить,ənt'ilwiziɬ- п1; эqэl- п1,multiple translations
отгадывать,uzэnx- неп; əllatsxэn- п1,multiple translations
отдавать,zil-,п1
отдавать кислым,kʎčlatэ-,неп
отдаваться,ozala-,неп
отдалять,ənmэč'as-,п1
отдельно,ɬman,нареч
вого стланика,ʷstopk'ul,сущ
отделяться,ɬmat-,неп
отдых,qэnʔэsəm,сущ
отдыхать,qэnʔisi- неп; qэnʔisit- неп; uraturi- неп с.,multiple translations
отдыхать как следует,qэnʔisit-,неп
откликаться на зов,aɬt-,неп
откликаться на зов многократно,aɬtsxэn-,неп
откровенно разговаривать,panэnajp-,неп
открывать,fačza- неп; ənqэ- п1; ənɬi- п1,multiple translations
открывать глаза со сна,ŋaʔno-,неп
открываться,iqi-,неп
открытый,kənqэʔin,прил
откуда,manxʔal,нареч
откусывать,ansχɬ-,неп
отлив,эʔrum,сущ
отличаться,ɬwaɬtэ-,неп
отличник,otličnik,сущ
отлично,бrawo нареч; otlično нареч,multiple translations
отличный,ɬwaɬʔan,прил
отлупить,nэpajsa-,п1
отметка,otmetka,сущ
отмечать путь вешками,ililэt-,п1
отмщение,nэt'ɬэnom,сущ
отнести,ənt'ilwiziɬala-,п1
отнимать,iʔnuxt- неп; iʔnuxt- п1,multiple translations
относить,tэʔɬ- п1; tэʔɬэt- п1; ənt'ilwiziɬ- п1,multiple translations
отогревать,nomsa-,п1
отпарывать,it'ɬqrэ-,п1
отправлять,ɬinzaɬt- п1; ɬintэwuŋ- п1; ənsxэzi- п1,multiple translations
отправляться в путь,sxэzi-,неп
отпрашивать(ся),spŋэl-,неп
отпускать,ənksi- п1; ənqsi- п1; ənqsit- п1,multiple translations
отражение,fэt'ɬχэt'ɬ,сущ
отрезать,əmpχata- п1; əmpχэ- п1,multiple translations
отрезать кончик уха,əɬtq-,п1
отремонтированный,xiʔŋiŋlaχ,прил
отрицание,qaʔm,част
отрываться,pxэ- неп; pxэtit- неп,multiple translations
отрывок,otrɨwok,сущ
отрыжка,эsəʔŋɬэm,сущ
отряд,ipɬχnowal,сущ
отставать,kzэɬ-,неп
отстегивать,əntpɬэt-,п1
отсыревать,ilэwэ-,неп
отсюда,wotxal нареч с.; txʔal нареч,multiple translations
оттащить,ənt'ilwiziɬala-,п1
оттуга,uttuwalŋən,сущ
оттуда,χoxʔal,нареч
отхаркивать мокроту,asato-,неп
отхаркиваться,asato- неп; ɬinɬxэ- неп,multiple translations
отцом признавать исхэки,iɬ- п1; эsxэɬzo- неп,multiple translations
круг во время танца,wэn-,неп
отчим,isxэʔsx,сущ
отъезжать недалеко,sč'эlala-,неп
отяжелеть,kassa-,неп
ох,iŋiŋi,межд
охаивать,ɬiɲɬэruŋ-,п1
охапка,inzэsχ,сущ
охать,atal- неп; atalkas инф неп,multiple translations
охота,ɬəm-,неп
охотиться,nis- неп; nэs- неп; oxot'эɬ- неп; sinatala- неп,multiple translations
охотиться на медведя,mэt'sk'эntэ-,неп
охотиться на морского зверя,ijanɬk-,неп
охотник,nisilan,сущ
охотничье угодье,ɬmэnom,сущ
охотничья добыча,ɬmas,сущ
охотничья лодка,бajdar,сущ
охранять,xčoɬ-,п1
оцеплять,txwəlэtə-,п1
очаг,ojэlatnom,сущ
очень,ʎwi нареч; ʎi нареч с.,multiple translations
очень больно,kɬəŋqsxi,нареч
очень вкусно,kɬč'эwэzэ,нареч
очень дымно,kɬŋačэza,нареч
очень страшно,kɬčispэŋin,нареч
очищать шкуру,naɬ-,п1
очищение,čэstэʔɬnom,сущ
очки,očkaʔn,сущ
ошаманивать,kztaɬ- п1; čamla- п1,multiple translations
ошейник,kwəlwŭm,сущ
ошибаться,intinniw- неп; intənmэʔɬ- неп; tsxil- неп,multiple translations
ошибка,tsxэʔlэs,сущ
ошпарить,is-,п1
ошпариться,is-,неп
ощипывать,ənmit-,п1
ощипывать перья,ənmi-,п1
ощупывать,tillat- неп; tillat- п1,multiple translations
ощущать тошноту,iʔlakэt-,неп
падать,ič- неп; kzi- неп; tsӑl- неп; tslat- неп,multiple translations
падать в обморок,tplasxэn-,неп
падение,toalnom,сущ
падушка,kəɲč,сущ
падшая женщина,č'afkram,сущ
пазуха,paŋza- п2; paŋzaŋ сущ; paŋzat- п2,multiple translations
подпоясанной кухлянкой,paŋzaŋ,сущ
пакет,koɬton,сущ
пакостить,aɲčxčaŋ-,неп
Палана,Кɬxit,собств
палатка,polok,сущ
палец,lufɬič,сущ
палец большой,asolŋəŋ сущ с.; timkč сущ,multiple translations
палец указательный,aɲɬoʔɬknэn,сущ
палка,kэŋč сущ; usk'əlŋin сущ; uʔ сущ; əmzatinəŋ сущ,multiple translations
палка для привязывания собак,χэzum,сущ
"палка, чтобы рыбу погонять",əmzatinəŋ,сущ
палочки,umuɬk'эʔn,сущ
пальто,paɬtoʔ,сущ
пальчик у маленького ребенка,lэwэčχ,сущ
памятник,pamяtnik,сущ
память,txэɬnom,сущ
папа,papa,сущ
пар,ʷt'it'im,сущ
сердцевины кипрея,lupsisχ,сущ
парадная комната,χaqa,сущ
паразит,ʎapxač'эraŋ,сущ
паразиты,katxzэʔn,сущ
парень,χoʎa,сущ
париться (еда),pojэ-,неп
парта,partaʔ,сущ
партизан,partizan,сущ
партизанский,partizanskoj,прил
парус,parus,сущ
пастбище,asxəm сущ; nonom сущ,multiple translations
пасти,anfčoʔɬ-,неп
пасти стадо,xčoɬ- п1; xčoɬ-,multiple translations
пастух,anxčoʔɬkaɬχ,сущ
пасть открывать,fačza-,неп
патрон,patron,сущ
паук,ʷsik'k'aj сущ; sik'uk' сущ,multiple translations
пах,sač'эŋ,сущ
пахать,paxaʔɬ-,неп
пахнуть,sq- неп; sqka- неп,multiple translations
пачкать,əlk'sэzo-,п1
пачкаться,əlk'sэzo-,неп
пачкаться многократно,anzazo-,неп
пеленать,č'umk'э-,п1
пень,tnakol,сущ
пепел,ʷpiŋpiŋ,сущ
пепельница,pэŋpэŋjoɬxэn,сущ
пепельный цвет,piŋlaχ,прил
первосвященик,xэpoxpx,сущ
первый,pэrwoj прил; pэrwoj прил,multiple translations
первый от центра запор,tkupэnpaw,сущ
из-под снега,luqэn,сущ
перебирать,inčilэʔɬ-,неп
переваливать через гору,χaʔmnэ-,неп
переваливать через хребет,xəʔmnэ-,неп
Колвоч,kiw,собств
Переваљной,ŋэjŋэ,собств
переварить,эt'osčo-,неп
место,ənɬэmza-,п1
перевозить,əntxla-,п2
перевозить через реку,tqəz-,п1
переворачивать,ənpiŋэʔɬ- п1; ənpnэʔɬ- п1; ənsč'aʔŋa- п1,multiple translations
переворачиваться,sxozŋa-,неп
переглядываться,ɬčkust-,п1
перегонять,ənpэskoz-,п1
перед,kɬfəɲčk,нареч
передвигать,ənsč'эlla-,п1
передний,kɬfəɲčʔan,прил
летней обуви,fээčχ,сущ
передняя часть одежды,uwik,сущ
переправлять,tqəz-,п1
переправляться,ənta- неп; əntat- неп sizŋit'ɬ сущ,multiple translations
передовой,peredowoj,прил
передразнивать,qazala- п1; qazalaʔɬ- неп,multiple translations
переезжать,ənta-,неп
переезжать на другое место,jalwэt-,неп
переезжать через горы,xəʔmnэ-,неп
переживать,krurэw- неп; nitasxэn- неп; čalxta- п1,multiple translations
перезимовать,kank-,неп
перекат,k'izwizwэč сущ; эpэwrəŋ сущ,multiple translations
перекликаться,lukэl-,неп
перекосить,tqэns-,п1
перекрывать путь,txwəlэt-,неп
перекусывать все предметы,pələt-,п2
перелезать,təʔmnэ-,п1
перелезать через забор,χaʔmnэ-,неп
перелетать,lusiŋit-,неп
перелетать с места на место,siŋэt-,неп
переливать через край,ip-,неп
перемена,peremena,сущ
переметка,korэmt,сущ
перен,kakf,сущ
перенога,pənk'эč,сущ
свежим следам,nэspəl,сущ
переносить,timpɬ- п1; əntxla- п2,multiple translations
переносить на спине,szu-,п2
перепись,kэʔɲɬэtnom,сущ
переправа,əntanom,сущ
перепрыгивать,twajt- неп; twajtat- неп; twajtzo- неп; twajčo- неп,multiple translations
перепутать,ənq'lt-,п1
перепутаться,q'lэ-,неп
перерыв,qэnʔэsəm,сущ
перерывать,nэk'a-,п1
переселять,ənsialwэt- п1; ənsialwэtэt- п1,multiple translations
пересказывать,la-,п2
переставать,ɬxilŋi-,неп
пересушить,ənk'эxsa-,п1
пересчитывать,ɬnisxini-,п1
пересыхать,k'isxɬэt-,неп
перетаскивать быстро,insimpɬ-,п1
перечитывать,ɬnisxini-,п1
перешагивать,čmaqa- п1; čmaqat- п1,multiple translations
перешагивать заставлять,ənfaqt-,п1
перешаривать,nэk'a-,п1
перо,čэɬxčэɬx,сущ
перья ощипывать,ənmi-,п1
перьями обрастать,эtɬxtэ-,неп
песец,sipuq,сущ
песни ительменские,xodilaʔn,сущ
песня,čaqaʔɬэs,сущ
песня колыбельная,qэrwэʎu,сущ
песок,tosx,сущ
пест,spэ сущ; tqniŋ сущ с.,multiple translations
пёстрая нерпа,kэlilan,сущ
пестрая птичка,atamsqəl,сущ
пёстрый,kэli,прил
пестряк,məlʔarak,сущ
песчаный,tosxʔan,прил
петля,lэqəl сущ; эnat сущ,multiple translations
обуви -,aʎэʔn lэk'il,сущ
петля у вида легкой обуви,tnakэl,сущ
петух,pэtux,сущ
петь,ŋrэp- неп; čaqaʔɬ- неп; эʔŋuŋi- неп,multiple translations
петь по шамански,эŋэŋsэ-,неп
петь прощальную песню,qolэnto-,неп
петь ходилье,xodila-,неп
пеуль,pэwlumč,сущ
печальный,makoʔlaχ,прил
печень,pontapont,сущ
печь,ojэlatnom сущ; opэčik сущ; pэči сущ; pэčiʔ сущ; pэčэʔɬ- неп,multiple translations
пешком,ɬalaŋ нареч; ɬэjwo нареч с.,multiple translations
пешком идти,ɬэjwo-,неп
пила,pilэʔ,сущ
пилить,piliʔɬ- неп; pilэzaʔɬ- неп,multiple translations
пинаться,qэpɬk'oɬ-,неп
пировать,č'axɬ- неп; č'эɬэlat- неп,multiple translations
писать,kэli- п1; kэliʔɬ- неп;,multiple translations
пищать,č'mamɬ-,неп
пище улечься,эt'osčo-,неп
пищей давиться,it'эmɬ-,неп
плавать,wit- неп; pwat- неп; pwatэt- неп; tӑlfs- неп; fi- неп; fэɬat- неп,multiple translations
плавать долго,fэt-,неп
дистрибутивно,pwatэt-,неп
плавник,ŋojŋən сущ; taʔŋorэčχ сущ; txločχ сущ,multiple translations
плавник рыбий,tэwəč,сущ
плавник рыбы,pipэʔlэč сущ; tənzasχ сущ,multiple translations
плавничок,tэwэčχ,сущ
плакать,ritwiriwu- неп; sэŋɬzo- неп; fajxa- неп; č'mamɬ- неп; č'ŋэl- неп,multiple translations
плакать навзрыд,sэŋɬ-,неп
плакса,č'ŋэɬu,сущ
пламя раздувать,ənluʔɬ- п1; ənluʔɬэt- п1,multiple translations
план,plan,сущ
планка для петель на рубашке,kэʔns- časχ,неп
письменность,kэlэnom,сущ
письменный,kэlэʔɬknэn,прил
письмо,kэlэkэl сущ; kэlэnom сущ,multiple translations
пить,бiwɨlik неп; wil- неп; wil- п1; il- неп с.; il- п1 с.; čaqaʔɬ- неп,multiple translations
пить до конца,wilэt-,неп
пить долго,ŋэpɬ-,неп
пить много,wilэt-,неп
пить хотеть,ik'sxulэʔɬ-,неп
пить чай,imɬo- неп; čajʔa- неп,multiple translations
пить часто,wilэt-,неп
питье,wilnom,сущ
пиши,kэʔɲɬ-,неп
пища,nowaɬэs сущ; nonom сущ,multiple translations
пища для собак,opana,сущ
пластать,axt- п1; xt- п1; əlfɬ- п1; əxt- неп с.,multiple translations
пластать;,əxt-,п1
платить,wilэt- п1; iɲɬ- п1,multiple translations
платок,plat,сущ
плаха,ot's,сущ
плач,fajxanom,сущ
плевательница,asasjэɬxэn сущ; ask'rэ сущ,multiple translations
плевать,iɬxэɲčkэʔɬэt-,неп
плеваться,iɬxэɲčkэʔɬ- неп; iɬxэɲčkэʔɬэt- неп,multiple translations
племянник,lufsx,сущ
племянница,lufsx,сущ
плен,tskawэl-,неп
на окна,k'azwizwač,сущ
плести,omtэ- п1; tk'lo- п1; tk'lot- п1,multiple translations
плести что-либо,tχz-,п1
плетеная связка мелкой рыбы,intχzэsχ,сущ
плетеная травяная корзина,č'ipsqэl,сущ
плетень рыбного запора,toʔsэs,сущ
плечо,əntnэŋ,сущ
плешь,k'эmsx,сущ
плоды и ягоды,mэɬqэw,сущ
плоский,aŋɬlaχ прил; apɬk'alaχ прил; oʎwэʎaχ прил,multiple translations
плоский берег,iʔɲɬəm сущ; iʔɲɬəm сущ,multiple translations
плоский камень,zэnzol,сущ
плот,timitэm,сущ
плоть,kilwiɬχ сущ; tχaltχal сущ,multiple translations
плохо,qiwэ нареч; χэqэ нареч;,multiple translations
плохое сделать,aŋqan ənt-,п1
плохой,qiwэlaχ прил; χэqэlaχ прил; χэqэ нареч; эčk'эlaχ прил,multiple translations
полуразвалившийся дом,kistaj,сущ
площадь,ploщad',сущ
плыть,fi-,неп
"плыть вверх, против течения",ӑlfs-,неп
плыть по течению,wi-,неп
плясать,istэl-,неп
по воде хлопать,ipəɬqэ-,неп
по делу говорить,ənʔi-,п1
по имени называть,χэlaʔɬ-,п1
по реке бродить,tiwʎat-,неп
по своим местам раскладывать,əzzut-,п1
победа,anəɲčxčaʔɬnom,сущ
победитель,anəɲčxčaʔɬkiɬχ,сущ
